Datetime,Exchange,Symbol_Pair,Low,High,Open,Close,Volume_in_BUSD,Volume_USD
2022-06-03,Coinbase,BUSD/USD,0.999,1.001,0.999,1.0,187790.74,187790.74
2022-06-02,Coinbase,BUSD/USD,0.999,1.001,0.999,1.0,273404.92,273404.92
2022-06-01,Coinbase,BUSD/USD,0.999,1.001,1.001,1.001,270390.7,270661.0907
2022-05-31,Coinbase,BUSD/USD,1.0,1.001,1.0,1.0,386250.26,386250.26
2022-05-30,Coinbase,BUSD/USD,0.999,1.001,1.0,1.001,434030.58,434464.61058
2022-05-29,Coinbase,BUSD/USD,0.999,1.001,1.0,1.0,202425.64,202425.64
2022-05-28,Coinbase,BUSD/USD,0.999,1.001,1.001,1.001,195329.03,195524.35903
2022-05-27,Coinbase,BUSD/USD,0.999,1.001,0.999,1.0,754728.55,754728.55
2022-05-26,Coinbase,BUSD/USD,0.999,1.001,1.0,0.999,703327.11,702623.78289
2022-05-25,Coinbase,BUSD/USD,0.999,1.002,1.002,0.999,620923.41,620302.48659
2022-05-24,Coinbase,BUSD/USD,1.0,1.002,1.0,1.001,669657.5,670327.1575
2022-05-23,Coinbase,BUSD/USD,0.999,1.001,0.999,1.001,510611.09,511121.70109
2022-05-22,Coinbase,BUSD/USD,0.999,1.0,1.0,0.999,244561.91,244317.34809
2022-05-21,Coinbase,BUSD/USD,0.999,1.0,1.0,0.999,335493.69,335158.19631
2022-05-20,Coinbase,BUSD/USD,0.999,1.001,0.999,1.0,501553.73,501553.73
2022-05-19,Coinbase,BUSD/USD,0.998,1.007,1.003,0.999,934924.7,933989.7753
2022-05-18,Coinbase,BUSD/USD,1.0,1.004,1.002,1.002,479513.26,480472.28652
2022-05-17,Coinbase,BUSD/USD,1.0,1.008,1.005,1.003,656995.85,658966.8375499999
2022-05-16,Coinbase,BUSD/USD,1.0,1.008,1.002,1.005,789550.86,793498.6142999999
2022-05-15,Coinbase,BUSD/USD,1.0,1.005,1.0,1.001,689325.76,690015.0857599999
2022-05-14,Coinbase,BUSD/USD,0.999,1.02,0.999,1.005,1446478.82,1453711.2141
2022-05-13,Coinbase,BUSD/USD,0.998,1.02,1.001,0.999,1088717.45,1087628.7325499998
2022-05-12,Coinbase,BUSD/USD,0.999,1.02,1.001,1.001,1518258.59,1519776.8485899998
2022-05-11,Coinbase,BUSD/USD,0.996,1.025,1.0,1.0,1263060.29,1263060.29
2022-05-10,Coinbase,BUSD/USD,0.999,1.025,1.001,1.001,736612.87,737349.48287
2022-05-09,Coinbase,BUSD/USD,0.997,1.004,1.001,1.001,1066245.61,1067311.85561
2022-05-08,Coinbase,BUSD/USD,0.999,1.001,1.0,1.001,246764.03,247010.79403
2022-05-07,Coinbase,BUSD/USD,0.999,1.001,1.001,1.0,258797.5,258797.5
2022-05-06,Coinbase,BUSD/USD,1.0,1.001,1.0,1.001,532493.73,533026.22373
2022-05-05,Coinbase,BUSD/USD,0.999,1.003,0.999,1.001,685293.74,685979.0337399999
2022-05-04,Coinbase,BUSD/USD,0.999,1.002,1.001,0.999,408669.86,408261.19014
2022-05-03,Coinbase,BUSD/USD,0.996,1.001,0.999,0.999,414838.84,414424.00116
2022-05-02,Coinbase,BUSD/USD,0.996,1.001,0.999,1.0,404201.7,404201.7
2022-05-01,Coinbase,BUSD/USD,0.999,1.001,1.0,1.001,373517.47,373890.98746999993
2022-04-30,Coinbase,BUSD/USD,0.999,1.004,1.001,1.0,640597.54,640597.54
2022-04-29,Coinbase,BUSD/USD,0.999,1.002,1.0,1.001,547841.96,548389.80196
2022-04-28,Coinbase,BUSD/USD,0.998,1.001,1.001,0.999,683636.1,682952.4639
2022-04-27,Coinbase,BUSD/USD,0.999,1.001,1.001,1.001,166816.22,166983.03621999998
