Datetime,Symbol_Pair,Low,High,Open,Close,Volume,Volume_USD
2022-08-26,USDT/USD,0.99958,1.0005,1.00001,1.00004,45018518.96,45020319.700758405
2022-08-25,USDT/USD,0.99953,1.00062,0.99999,1.0,32534060.57,32534060.57
2022-08-24,USDT/USD,0.99937,1.00034,1.00006,0.99999,34223953.61,34223611.3704639
2022-08-23,USDT/USD,0.99936,1.00015,0.99994,1.00005,37318270.73,37320136.6435365
2022-08-22,USDT/USD,0.99963,1.00087,1.0,0.99994,35320930.1,35318810.844194
2022-08-21,USDT/USD,0.99232,1.00015,0.99991,1.00001,27439087.93,27439362.320879303
2022-08-20,USDT/USD,0.99963,1.00079,0.99999,0.9999,31366538.62,31363401.966138
2022-08-19,USDT/USD,0.99982,1.00987,1.00007,0.99999,46682775.6,46682308.77224401
2022-08-18,USDT/USD,0.99949,1.0037,1.00009,1.00007,34345390.99,34347795.167369306
2022-08-17,USDT/USD,0.99977,1.01,1.00003,1.00008,49316172.51,49320117.8038008
2022-08-16,USDT/USD,0.99991,1.0003,1.00018,1.00003,37620442.4,37621571.013272
2022-08-15,USDT/USD,1.0001,1.00032,1.00028,1.00019,45237212.39,45245807.4603541
2022-08-14,USDT/USD,1.00007,1.0004,1.0004,1.00029,34134131.86,34144030.7582394
2022-08-13,USDT/USD,1.0003,1.00072,1.00052,1.0004,35061832.38,35075857.112952
2022-08-12,USDT/USD,1.00021,1.00101,1.00038,1.00052,39476183.88,39496711.495617606
2022-08-11,USDT/USD,0.99644,1.00068,1.00026,1.00038,49156220.0,49174899.3636
2022-08-10,USDT/USD,1.00005,1.00089,1.00029,1.00026,43809426.98,43820817.43101479
2022-08-09,USDT/USD,0.998,1.0003,1.00022,1.00029,35402652.71,35412919.479285896
2022-08-08,USDT/USD,0.99912,1.00045,1.00018,1.00021,36513560.57,36521228.4177197
2022-08-07,USDT/USD,1.0,1.00027,1.00023,1.00017,20029686.35,20033091.396679506
2022-08-06,USDT/USD,0.99999,1.00025,1.00004,1.00023,19868996.3,19873566.169149
2022-08-05,USDT/USD,0.99984,1.0002,1.00002,1.00003,34285230.64,34286259.1969192
2022-08-04,USDT/USD,0.9998,1.00035,1.00021,1.00002,31000825.23,31001445.2465046
2022-08-03,USDT/USD,1.00003,1.00035,1.00022,1.00022,29215803.11,29222230.5866842
2022-08-02,USDT/USD,1.00001,1.00044,1.00039,1.00023,31591499.34,31598765.3848482
2022-08-01,USDT/USD,1.0,1.0005,1.00044,1.00038,33277354.44,33289999.834687203
2022-07-31,USDT/USD,1.00009,1.00046,1.00028,1.00044,18804519.77,18812793.7586988
2022-07-30,USDT/USD,1.00008,1.0004,1.00034,1.00029,24889816.41,24897034.456758898
2022-07-29,USDT/USD,0.99556,1.00089,1.00021,1.00034,42451094.64,42465528.0121776
2022-07-28,USDT/USD,0.9997,1.00045,1.0003,1.0002,47922189.16,47931773.597832
2022-07-27,USDT/USD,0.99987,1.00056,1.00011,1.0003,36925645.21,36936722.903563
2022-07-26,USDT/USD,0.99981,1.0003,1.0001,1.00011,30459157.72,30462508.2273492
2022-07-25,USDT/USD,0.9999,1.0003,1.00015,1.0001,31272824.65,31275951.932465
2022-07-24,USDT/USD,0.9999,1.0003,1.00008,1.00013,16805278.55,16807463.2362115
2022-07-23,USDT/USD,0.99951,1.0003,1.0001,1.00008,19811212.0,19812796.89696
2022-07-22,USDT/USD,0.9988,1.0004,0.99991,1.00009,33163681.41,33166666.141326897
2022-07-21,USDT/USD,0.9998,1.00031,1.00009,0.9999,34820831.59,34817349.506841004
2022-07-20,USDT/USD,0.99981,1.00052,1.00004,1.00008,44463203.17,44466760.22625361
2022-07-19,USDT/USD,0.99975,1.00045,0.99977,1.00004,47481211.83,47483111.0784732
2022-07-18,USDT/USD,0.999,1.00012,0.9997,0.99977,46874726.64,46863945.452872805
2022-07-17,USDT/USD,0.9996,1.0,0.99982,0.9997,25728537.79,25720819.228663
