Datetime,Exchange,Symbol_Pair,Low,High,Open,Close,Volume_in_DOGE,Volume_USD,Volume_in_ADA,Volume_in_XRP,Volume_in_BUSD,Volume_in_ETH,Volume,Volume_in_BTC,Volume_in_MATIC
2022-09-07,Coinbase,MATIC/USD,0.7914,0.8515,0.8159,0.8403,,26519144.921850003,,,,,,,31559139.5
2022-09-06,Coinbase,MATIC/USD,0.812,0.9235,0.8829,0.8162,,38530832.26454,,,,,,,47207586.7
2022-09-05,Coinbase,MATIC/USD,0.8622,0.9028,0.895,0.8829,,17786271.508470003,,,,,,,20145284.3
2022-09-04,Coinbase,MATIC/USD,0.8724,0.8986,0.8893,0.8952,,15680726.39808,,,,,,,17516450.4
2022-09-03,Coinbase,MATIC/USD,0.8665,0.8904,0.8721,0.8893,,18108030.91489,,,,,,,20362117.3
2022-09-02,Coinbase,MATIC/USD,0.8629,0.9135,0.8849,0.8721,,35159082.22971,,,,,,,40315425.1
2022-09-01,Coinbase,MATIC/USD,0.8223,0.8957,0.8327,0.8847,,38023277.03433,,,,,,,42978723.9
2022-08-31,Coinbase,MATIC/USD,0.816,0.8588,0.816,0.8326,,25151822.90112,,,,,,,30208771.2
2022-08-30,Coinbase,MATIC/USD,0.7829,0.844,0.8168,0.8157,,27821725.52655,,,,,,,34107791.5
2022-08-29,Coinbase,MATIC/USD,0.7621,0.8216,0.7826,0.817,,28469202.0982,,,,,,,34846024.6
2022-08-28,Coinbase,MATIC/USD,0.7777,0.8337,0.8062,0.7827,,23606622.64557,,,,,,,30160499.1
2022-08-27,Coinbase,MATIC/USD,0.757,0.8147,0.7666,0.806,,28013727.6354,,,,,,,34756485.9
2022-08-26,Coinbase,MATIC/USD,0.7562,0.8484,0.8193,0.7667,,45101362.49355,,,,,,,58825306.5
2022-08-25,Coinbase,MATIC/USD,0.8052,0.8321,0.8135,0.819,,18659017.377,,,,,,,22782683.0
2022-08-24,Coinbase,MATIC/USD,0.8019,0.8406,0.832,0.8135,,20526810.886600003,,,,,,,25232711.6
2022-08-23,Coinbase,MATIC/USD,0.7912,0.8371,0.8101,0.832,,23095352.3008,,,,,,,27758836.9
2022-08-22,Coinbase,MATIC/USD,0.7685,0.823,0.8207,0.8097,,20006425.56837,,,,,,,24708442.1
2022-08-21,Coinbase,MATIC/USD,0.7786,0.8307,0.7861,0.8207,,26976498.21009,,,,,,,32870108.7
2022-08-20,Coinbase,MATIC/USD,0.7584,0.8168,0.7694,0.7861,,43100900.42055,,,,,,,54828775.5
2022-08-19,Coinbase,MATIC/USD,0.7636,0.8576,0.8572,0.7694,,52425145.30284,,,,,,,68137698.6
2022-08-18,Coinbase,MATIC/USD,0.8551,0.9094,0.8849,0.8571,,18238936.2933,,,,,,,21279823.0
2022-08-17,Coinbase,MATIC/USD,0.8769,0.9643,0.9344,0.8847,,34096034.99025,,,,,,,38539657.5
2022-08-16,Coinbase,MATIC/USD,0.9241,0.968,0.9511,0.9345,,21990059.56455,,,,,,,23531363.9
2022-08-15,Coinbase,MATIC/USD,0.9311,1.035,1.001,0.9517,,45743879.53351,,,,,,,48065440.3
2022-08-14,Coinbase,MATIC/USD,0.9856,1.055,1.026,1.0013,,33041689.027780004,,,,,,,32998790.6
2022-08-13,Coinbase,MATIC/USD,0.9298,1.0337,0.9354,1.026,,59819854.239,,,,,,,58303951.5
2022-08-12,Coinbase,MATIC/USD,0.9062,0.9358,0.9215,0.9354,,19356780.06378,,,,,,,20693585.7
2022-08-11,Coinbase,MATIC/USD,0.916,0.9568,0.9386,0.9215,,23161343.97885,,,,,,,25134393.9
2022-08-10,Coinbase,MATIC/USD,0.8706,0.9419,0.8912,0.9383,,32389616.73057,,,,,,,34519467.9
