Datetime,Exchange,Symbol_Pair,Low,High,Open,Close,Volume_in_DOGE,Volume_USD
2022-07-24,Coinbase,DOGE/USD,0.06723,0.06895,0.06804,0.06754,114551590.8,7736814.442632
2022-07-23,Coinbase,DOGE/USD,0.06596,0.06952,0.06744,0.06803,124087260.5,8441656.331814999
2022-07-22,Coinbase,DOGE/USD,0.06671,0.07144,0.06996,0.06745,174999993.0,11803749.52785
2022-07-21,Coinbase,DOGE/USD,0.06692,0.07094,0.07014,0.06999,205926981.7,14412829.449182998
2022-07-20,Coinbase,DOGE/USD,0.06767,0.07699,0.06903,0.07015,610755585.2,42844504.30178001
2022-07-19,Coinbase,DOGE/USD,0.06538,0.0703,0.06755,0.06902,303253635.6,20930565.929112
2022-07-18,Coinbase,DOGE/USD,0.06297,0.06895,0.06306,0.06757,343792332.1,23230047.879997004
2022-07-17,Coinbase,DOGE/USD,0.06286,0.06549,0.06437,0.06306,156436628.2,9864893.774292
2022-07-16,Coinbase,DOGE/USD,0.06171,0.06481,0.06291,0.06435,180211482.7,11596608.911745
2022-07-15,Coinbase,DOGE/USD,0.06157,0.06439,0.06245,0.06293,221068449.1,13911837.501863
2022-07-14,Coinbase,DOGE/USD,0.05944,0.06278,0.06191,0.06243,189491374.0,11829946.47882
2022-07-13,Coinbase,DOGE/USD,0.05745,0.0623,0.05972,0.0619,305908100.6,18935711.42714
2022-07-12,Coinbase,DOGE/USD,0.05966,0.06304,0.06172,0.05977,147920233.0,8841192.32641
2022-07-11,Coinbase,DOGE/USD,0.06112,0.06725,0.06725,0.0617,229084806.9,14134532.58573
2022-07-10,Coinbase,DOGE/USD,0.06619,0.06947,0.06945,0.06725,138611472.2,9321621.50545
2022-07-09,Coinbase,DOGE/USD,0.06879,0.07014,0.06901,0.06944,89831413.3,6237893.339552
2022-07-08,Coinbase,DOGE/USD,0.06819,0.07349,0.07052,0.06907,251004930.1,17336910.522007
2022-07-07,Coinbase,DOGE/USD,0.06782,0.07119,0.06833,0.07051,172371492.2,12153913.915022
2022-07-06,Coinbase,DOGE/USD,0.06609,0.0692,0.06708,0.06833,198287996.3,13549018.787179
2022-07-05,Coinbase,DOGE/USD,0.0654,0.06995,0.06929,0.06709,168749672.7,11321415.541442998
2022-07-04,Coinbase,DOGE/USD,0.06559,0.06973,0.06711,0.0693,175010053.7,12128196.72141
2022-07-03,Coinbase,DOGE/USD,0.06474,0.06745,0.06657,0.06711,154264646.0,10352700.39306
2022-07-02,Coinbase,DOGE/USD,0.0654,0.06793,0.06641,0.06658,181748466.7,12100812.912886
2022-07-01,Coinbase,DOGE/USD,0.06377,0.06876,0.0664,0.06641,305531094.4,20290319.979104
2022-06-30,Coinbase,DOGE/USD,0.06221,0.06964,0.0695,0.0664,415931718.1,27617866.08184
2022-06-29,Coinbase,DOGE/USD,0.06402,0.07168,0.06599,0.06939,394321431.1,27361964.104029
2022-06-28,Coinbase,DOGE/USD,0.0653,0.07328,0.07208,0.06602,322578673.0,21296643.99146
2022-06-27,Coinbase,DOGE/USD,0.07047,0.07876,0.07294,0.07206,645926332.5,46545451.51995
2022-06-26,Coinbase,DOGE/USD,0.06712,0.07776,0.06849,0.07295,648353981.3,47297422.935835
2022-06-25,Coinbase,DOGE/USD,0.06504,0.06932,0.06687,0.0685,274996305.1,18837246.89935
2022-06-24,Coinbase,DOGE/USD,0.06388,0.06853,0.06395,0.0669,316480056.4,21172515.77316
2022-06-23,Coinbase,DOGE/USD,0.0615,0.0647,0.06163,0.06396,317428670.3,20302737.752388
2022-06-22,Coinbase,DOGE/USD,0.061,0.06579,0.06578,0.06162,546145021.1,33653456.200182006
2022-06-21,Coinbase,DOGE/USD,0.05891,0.06988,0.05994,0.06572,746047884.2,49030266.949624
2022-06-20,Coinbase,DOGE/USD,0.05736,0.06145,0.0604,0.05994,382670463.9,22937267.606166
2022-06-19,Coinbase,DOGE/USD,0.05108,0.0629,0.05283,0.0604,791478594.4,47805307.10176
2022-06-18,Coinbase,DOGE/USD,0.04908,0.05783,0.05683,0.05282,601671131.6,31780269.171112
2022-06-17,Coinbase,DOGE/USD,0.05454,0.05806,0.05518,0.05683,362982618.3,20628302.197989
2022-06-16,Coinbase,DOGE/USD,0.05413,0.06283,0.06283,0.05514,629937789.3,34734769.702002
2022-06-15,Coinbase,DOGE/USD,0.05032,0.06388,0.0555,0.06282,916424549.8,57569790.218436
2022-06-14,Coinbase,DOGE/USD,0.04973,0.05837,0.0541,0.05553,666535320.3,37012706.336259
2022-06-13,Coinbase,DOGE/USD,0.05221,0.06616,0.0634,0.05417,1016472903.7,55062337.19342901
2022-06-12,Coinbase,DOGE/USD,0.06336,0.0703,0.06987,0.06339,453023242.6,28717143.348414004
2022-06-11,Coinbase,DOGE/USD,0.06783,0.07644,0.0753,0.06983,406837164.6,28409439.204018004
2022-06-10,Coinbase,DOGE/USD,0.07413,0.07969,0.07931,0.07532,215131244.9,16203685.365868
2022-06-09,Coinbase,DOGE/USD,0.07882,0.08102,0.07922,0.07931,159014378.2,12611430.335042
2022-06-08,Coinbase,DOGE/USD,0.0787,0.08157,0.08031,0.07924,238428384.8,18893065.211552
2022-06-07,Coinbase,DOGE/USD,0.07764,0.0825,0.08242,0.0803,415852234.6,33392934.43838
2022-06-06,Coinbase,DOGE/USD,0.08079,0.08468,0.08102,0.08243,449696889.2,37068514.576756
2022-06-05,Coinbase,DOGE/USD,0.08053,0.08217,0.08183,0.081,216666774.8,17550008.7588
2022-06-04,Coinbase,DOGE/USD,0.07925,0.08246,0.08022,0.08183,336224078.2,27513216.319106
2022-06-03,Coinbase,DOGE/USD,0.0792,0.0829,0.08269,0.08023,227173938.8,18226165.109924
2022-06-02,Coinbase,DOGE/USD,0.0799,0.08309,0.0809,0.08269,120960446.1,10002219.288009
2022-06-01,Coinbase,DOGE/USD,0.0787,0.0894,0.0859,0.081,239663161.4,19412716.0734
2022-05-31,Coinbase,DOGE/USD,0.083,0.0885,0.088,0.0858,261625246.2,22447446.12396
2022-05-30,Coinbase,DOGE/USD,0.082,0.0885,0.0826,0.088,257502579.6,22660227.0048
2022-05-29,Coinbase,DOGE/USD,0.0798,0.0833,0.0818,0.0826,103635673.2,8560306.606320001
2022-05-28,Coinbase,DOGE/USD,0.0808,0.0833,0.0814,0.0818,160819657.7,13155047.999859998
2022-05-27,Coinbase,DOGE/USD,0.0759,0.09,0.0777,0.0815,484413036.1,39479662.44215
2022-05-26,Coinbase,DOGE/USD,0.0751,0.0837,0.0829,0.0778,206878708.5,16095163.5213
2022-05-25,Coinbase,DOGE/USD,0.082,0.0844,0.0836,0.0829,112971761.6,9365359.03664
2022-05-24,Coinbase,DOGE/USD,0.08,0.0843,0.0832,0.0836,131170800.2,10965878.89672
2022-05-23,Coinbase,DOGE/USD,0.082,0.0884,0.0858,0.0833,149329638.1,12439158.85373
2022-05-22,Coinbase,DOGE/USD,0.0837,0.0866,0.0843,0.0858,66106459.0,5671934.1822
2022-05-21,Coinbase,DOGE/USD,0.0822,0.0854,0.0837,0.0843,65725157.2,5540630.75196
2022-05-20,Coinbase,DOGE/USD,0.0824,0.088,0.0865,0.0838,122503453.6,10265789.41168
2022-05-19,Coinbase,DOGE/USD,0.0813,0.0875,0.0832,0.0866,180241818.6,15608941.49076
2022-05-18,Coinbase,DOGE/USD,0.083,0.0909,0.0901,0.0833,286831603.4,23893072.56322
2022-05-17,Coinbase,DOGE/USD,0.0867,0.0913,0.0878,0.0901,215156785.7,19385626.39157
2022-05-16,Coinbase,DOGE/USD,0.0858,0.0931,0.093,0.0879,193358425.1,16996205.566290002
2022-05-15,Coinbase,DOGE/USD,0.0864,0.0932,0.0893,0.0931,167536036.1,15597604.96091
2022-05-14,Coinbase,DOGE/USD,0.0834,0.0919,0.088,0.0893,221588444.4,19787848.08492
2022-05-13,Coinbase,DOGE/USD,0.0818,0.0963,0.0824,0.088,568051823.7,49988560.4856
