Datetime,Exchange,Symbol_Pair,Low,High,Open,Close,Volume_in_BTC,Volume_USD
2022-11-28,Coinbase,BTC/USD,15992.64,16478.32,16421.63,16206.3,30336.24756667,491638328.939724
2022-11-27,Coinbase,BTC/USD,16395.0,16589.43,16450.32,16419.88,10825.69525321,177756616.97427782
2022-11-26,Coinbase,BTC/USD,16376.1,16693.18,16510.9,16450.93,12308.57070713,202487435.10304612
2022-11-25,Coinbase,BTC/USD,16333.0,16610.08,16587.6,16510.9,20800.91157317,343441770.8934526
2022-11-24,Coinbase,BTC/USD,16450.62,16797.28,16585.83,16587.61,21819.50497344,361933438.8924831
2022-11-23,Coinbase,BTC/USD,16142.99,16700.0,16201.15,16587.0,37143.06609396,616092037.3005145
2022-11-22,Coinbase,BTC/USD,15596.22,16294.5,15758.96,16199.71,44555.90690195,721792770.5985885
2022-11-21,Coinbase,BTC/USD,15460.0,16279.99,16252.43,15760.14,43799.91803333,690292840.1938055
2022-11-20,Coinbase,BTC/USD,16154.65,16733.19,16680.7,16252.53,16685.1909604,271176566.63962984
2022-11-19,Coinbase,BTC/USD,16534.83,16802.0,16678.85,16683.02,9396.04770097,156754451.71623653
2022-11-18,Coinbase,BTC/USD,16526.28,16984.08,16680.47,16680.59,26970.34405749,449881251.38192713
2022-11-17,Coinbase,BTC/USD,16396.0,16736.7,16646.58,16680.47,22484.77507436,375056616.0846098
2022-11-16,Coinbase,BTC/USD,16358.66,16994.31,16879.37,16645.24,37249.70414522,620030265.4261818
2022-11-15,Coinbase,BTC/USD,16502.85,17107.88,16588.41,16877.93,48155.32053543,812762129.1245501
2022-11-14,Coinbase,BTC/USD,15790.25,17169.68,16298.75,16590.73,55601.93469977,922476686.0815152
2022-11-13,Coinbase,BTC/USD,16214.95,16926.57,16783.32,16301.39,23266.69734743,379279507.4724219
2022-11-12,Coinbase,BTC/USD,16595.25,17067.7,17014.78,16783.33,23830.0578576,399947724.94319385
2022-11-11,Coinbase,BTC/USD,16336.05,17641.32,17555.44,17013.62,64776.6547934,1102085389.526086
2022-11-10,Coinbase,BTC/USD,15720.0,18140.62,15894.77,17553.89,91496.98548059,1606128018.4578738
2022-11-09,Coinbase,BTC/USD,15512.0,18590.34,18546.07,15891.96,119633.96194081,1901218137.804875
2022-11-08,Coinbase,BTC/USD,17500.0,20675.0,20593.34,18550.25,84056.63082724,1559271516.0030088
2022-11-07,Coinbase,BTC/USD,20394.34,21069.46,20908.15,20593.49,25279.82916936,520599909.2009235
2022-11-06,Coinbase,BTC/USD,20886.26,21365.89,21300.45,20909.17,10958.4932636,229132998.5924672
2022-11-05,Coinbase,BTC/USD,21082.54,21478.8,21149.03,21300.45,14076.70487828,299840148.42455924
2022-11-04,Coinbase,BTC/USD,20181.61,21298.76,20208.02,21144.2,42027.16281295,888630735.9495775
2022-11-03,Coinbase,BTC/USD,20032.02,20390.82,20151.29,20206.88,26837.37211156,542299557.7736396
2022-11-02,Coinbase,BTC/USD,20059.53,20805.0,20480.34,20151.4,43913.21904186,884912842.2001376
2022-11-01,Coinbase,BTC/USD,20326.55,20691.0,20489.55,20479.63,21147.00854592,433082910.6272797
2022-10-31,Coinbase,BTC/USD,20237.0,20837.68,20629.21,20489.94,22222.73611567,455342529.64591134
2022-10-30,Coinbase,BTC/USD,20523.92,20939.35,20822.38,20630.68,13737.38848362,283411665.84124947
2022-10-29,Coinbase,BTC/USD,20561.2,21080.0,20597.34,20823.53,19822.75126022,412779655.549729
2022-10-28,Coinbase,BTC/USD,20000.0,20755.09,20295.77,20597.91,29581.75150226,609322255.0859163
2022-10-27,Coinbase,BTC/USD,20196.01,20878.17,20773.59,20296.97,34123.58255469,692605331.4050664
2022-10-26,Coinbase,BTC/USD,20055.85,21022.81,20086.27,20775.4,43618.9919315,906202004.9736851
2022-10-25,Coinbase,BTC/USD,19240.76,20420.88,19332.11,20086.28,42452.33701168,852709527.8709677
2022-10-24,Coinbase,BTC/USD,19159.35,19603.57,19572.2,19330.41,29432.58356293,568943907.6306977
2022-10-23,Coinbase,BTC/USD,19070.92,19698.1,19209.09,19572.44,12086.31175412,236558611.62880844
2022-10-22,Coinbase,BTC/USD,19110.46,19257.66,19164.92,19209.1,7044.99034028,135327923.94547254
2022-10-21,Coinbase,BTC/USD,18659.0,19254.52,19043.66,19166.45,24206.36088454,463950005.5754917
2022-10-20,Coinbase,BTC/USD,18905.0,19349.04,19123.77,19042.48,28405.7559743,540916040.0254883
2022-10-19,Coinbase,BTC/USD,19062.1,19361.0,19328.75,19124.18,22284.13292808,426165769.2605289
2022-10-18,Coinbase,BTC/USD,19091.77,19702.73,19550.39,19328.76,27645.59742478,534355117.6801906
2022-10-17,Coinbase,BTC/USD,19154.72,19679.46,19261.62,19550.4,24137.12482696,471890445.2169988
2022-10-16,Coinbase,BTC/USD,19065.23,19425.49,19070.62,19264.44,8310.92834083,160105380.36621907
