Datetime,Exchange,Symbol_Pair,Low,High,Open,Close,Volume_in_ADA,Volume_USD
2022-10-05,Coinbase,ADA/USD,0.4235,0.4367,0.4356,0.431,53303627.49,22973863.44819
2022-10-04,Coinbase,ADA/USD,0.4254,0.4379,0.4276,0.4357,52118144.13,22707875.397441
2022-10-03,Coinbase,ADA/USD,0.4158,0.4292,0.4196,0.4276,49361575.07,21107009.499932
2022-10-02,Coinbase,ADA/USD,0.4178,0.4328,0.4302,0.4196,35853259.03,15044027.488988
2022-10-01,Coinbase,ADA/USD,0.4277,0.4365,0.4348,0.4302,26649371.05,11464559.425710002
2022-09-30,Coinbase,ADA/USD,0.4293,0.4414,0.4382,0.4348,53756059.3,23373134.58364
2022-09-29,Coinbase,ADA/USD,0.4277,0.4392,0.4361,0.4381,47071937.12,20622215.652272
2022-09-28,Coinbase,ADA/USD,0.425,0.4432,0.4412,0.4362,61225299.26,26706475.537212
2022-09-27,Coinbase,ADA/USD,0.4373,0.4631,0.4471,0.4412,66443414.42,29314834.442104
2022-09-26,Coinbase,ADA/USD,0.4366,0.4508,0.4462,0.4471,60767583.88,27169186.752748
2022-09-25,Coinbase,ADA/USD,0.4385,0.4628,0.4511,0.4463,45212484.87,20178331.997481
2022-09-24,Coinbase,ADA/USD,0.4503,0.4688,0.4618,0.4511,45837288.36,20677200.779196
2022-09-23,Coinbase,ADA/USD,0.4459,0.4823,0.4583,0.4617,92309304.29,42619205.790693
2022-09-22,Coinbase,ADA/USD,0.4345,0.4665,0.4387,0.4583,77482556.77,35510255.767690994
2022-09-21,Coinbase,ADA/USD,0.4254,0.4643,0.4423,0.4389,135362697.01,59410687.717689
2022-09-20,Coinbase,ADA/USD,0.4374,0.4545,0.4525,0.4423,55094354.98,24368233.207654
2022-09-19,Coinbase,ADA/USD,0.4329,0.4571,0.4477,0.4526,69641991.85,31519965.51131
2022-09-18,Coinbase,ADA/USD,0.4413,0.4901,0.486,0.4478,62830566.71,28135527.772738
2022-09-17,Coinbase,ADA/USD,0.4724,0.4884,0.4746,0.486,32516609.83,15803072.37738
2022-09-16,Coinbase,ADA/USD,0.4541,0.4748,0.4661,0.4748,39427697.41,18720270.730268
2022-09-15,Coinbase,ADA/USD,0.4618,0.4821,0.4807,0.466,58758222.05,27381331.4753
2022-09-14,Coinbase,ADA/USD,0.462,0.4872,0.4636,0.481,57764881.06,27784907.78986
2022-09-13,Coinbase,ADA/USD,0.4615,0.5094,0.5016,0.4637,97580047.36,45247867.960832
2022-09-12,Coinbase,ADA/USD,0.496,0.5203,0.5101,0.5014,93631348.51,46946758.142914
2022-09-11,Coinbase,ADA/USD,0.5,0.5203,0.5124,0.5101,73090814.57,37283624.51215699
2022-09-10,Coinbase,ADA/USD,0.4947,0.5243,0.5022,0.5124,99432593.44,50949260.87865599
2022-09-09,Coinbase,ADA/USD,0.4783,0.5049,0.4791,0.5022,78527559.68,39436540.471296005
2022-09-08,Coinbase,ADA/USD,0.4625,0.4834,0.4786,0.479,58038716.8,27800545.3472
2022-09-07,Coinbase,ADA/USD,0.4537,0.4821,0.4625,0.4788,71908060.37,34429579.305156
2022-09-06,Coinbase,ADA/USD,0.4598,0.512,0.4986,0.4626,106505594.3,49269487.92318
2022-09-05,Coinbase,ADA/USD,0.4823,0.5074,0.5032,0.4987,47281150.48,23579109.744376
2022-09-04,Coinbase,ADA/USD,0.4757,0.51,0.4802,0.5035,83995245.49,42291606.104215
2022-09-03,Coinbase,ADA/USD,0.4534,0.486,0.4544,0.4804,84139463.56,40420598.294224
2022-09-02,Coinbase,ADA/USD,0.4489,0.4667,0.4577,0.4544,56014953.17,25453194.720448
