Datetime,Symbol_Pair,Open,High,Low,Close,Volume_USD,Volume_in_ADA
2022-10-05,ADA/USD,0.43569,0.43628,0.42355,0.431,842266.5707530878,1954214.78132967
2022-10-04,ADA/USD,0.42759,0.43786,0.42568,0.43577,590370.6116603116,1354775.71117863
2022-10-03,ADA/USD,0.41971,0.42885,0.41561,0.428,613872.452990755,1434281.43222139
2022-10-02,ADA/USD,0.43044,0.43297,0.41739,0.41941,833221.1899055401,1986650.74725338
2022-10-01,ADA/USD,0.43505,0.43642,0.42728,0.43044,467885.0230338324,1086992.43340264
2022-09-30,ADA/USD,0.43803,0.44122,0.42932,0.43486,909326.6500372111,2091079.08300881
2022-09-29,ADA/USD,0.43632,0.43929,0.42777,0.4382,845349.7889505739,1929141.46268958
2022-09-28,ADA/USD,0.44105,0.44357,0.425,0.43606,1214855.1213916054,2785981.56536166
2022-09-27,ADA/USD,0.44766,0.46361,0.43744,0.44163,1015541.1073063345,2299529.26048125
2022-09-26,ADA/USD,0.4464,0.451,0.43662,0.44762,1115973.9172793103,2493127.9149263
2022-09-25,ADA/USD,0.451,0.46313,0.43832,0.44669,935677.6036211418,2094691.18095579
2022-09-24,ADA/USD,0.46275,0.46975,0.45033,0.45133,700884.7496731997,1552931.88946713
2022-09-23,ADA/USD,0.45834,0.48334,0.4462,0.46234,514548.0786076405,1112921.39682407
2022-09-22,ADA/USD,0.43866,0.46683,0.43444,0.4582,375097.6703382843,818633.06490241
2022-09-21,ADA/USD,0.44253,0.46464,0.42465,0.43956,765747.489947652,1742077.28170819
2022-09-20,ADA/USD,0.45271,0.45441,0.43756,0.44203,289049.26305528206,653913.22547176
2022-09-19,ADA/USD,0.44771,0.45693,0.43326,0.45247,632418.54140863,1397702.70163465
2022-09-18,ADA/USD,0.48645,0.49016,0.43927,0.44705,532904.1066965614,1192045.87114766
2022-09-17,ADA/USD,0.47506,0.48846,0.47255,0.48621,292105.3707781903,600780.26115915
2022-09-16,ADA/USD,0.46634,0.47506,0.45421,0.47506,622146.5228669817,1309616.72813325
2022-09-15,ADA/USD,0.48045,0.48219,0.46231,0.46584,431005.0264397658,925221.16271631
2022-09-14,ADA/USD,0.46344,0.48723,0.46187,0.48102,343756.29998771736,714640.34756916
2022-09-13,ADA/USD,0.5017,0.50874,0.46122,0.46344,849982.9801814834,1834073.40795245
2022-09-12,ADA/USD,0.50978,0.51941,0.49553,0.50102,487088.29543696344,972193.31650825
2022-09-11,ADA/USD,0.51237,0.5204,0.50005,0.50976,361124.48548625276,708420.60084403
2022-09-10,ADA/USD,0.50262,0.52457,0.49476,0.51216,639968.0853170797,1249547.18314019
2022-09-09,ADA/USD,0.4792,0.50471,0.4785,0.50263,608308.237684866,1210250.55743761
2022-09-08,ADA/USD,0.47879,0.48319,0.46298,0.47908,203752.1439763397,425298.78929686
