Datetime,Exchange,Symbol_Pair,Open,High,Low,Close,Volume_USD,Volume_in_ETH,Volume_in_BTC,Volume_in_XRP,Volume_in_ADA,Volume_in_DOGE,Volume_in_LTC,Volume_in_SOL
2021-02-17,Bitfinex,LTC/USD,210.59,237.26,203.58,237.25,44233640.58217608,,,,,,186443.16367619,
2021-02-16,Bitfinex,LTC/USD,208.47,222.71,200.0,210.07,30612363.47141883,,,,,,145724.5845262,
2021-02-15,Bitfinex,LTC/USD,213.67,220.24,185.5,207.63,45386355.55840837,,,,,,218592.47487554,
2021-02-14,Bitfinex,LTC/USD,226.05,230.82,208.23,213.67,32151979.72636845,,,,,,150474.93670786,
2021-02-13,Bitfinex,LTC/USD,196.71,228.84,192.08,226.05,88135132.00451377,,,,,,389892.20086049,
2021-02-12,Bitfinex,LTC/USD,183.85,199.86,176.77,196.56,37806511.38593828,,,,,,192340.81901678,
2021-02-11,Bitfinex,LTC/USD,181.83,193.58,175.8,183.8,24335901.095209222,,,,,,132404.2497019,
2021-02-10,Bitfinex,LTC/USD,181.82,195.43,170.0,181.74,43605250.72550695,,,,,,239932.04977169,
2021-02-09,Bitfinex,LTC/USD,167.77,184.51,164.26,181.67,32018773.722626068,,,,,,176246.89669525,
2021-02-08,Bitfinex,LTC/USD,150.87,169.53,147.79,167.78,28757096.89440654,,,,,,171397.64509719,
2021-02-07,Bitfinex,LTC/USD,155.71,157.39,144.84,150.81,15483959.878224742,,,,,,102671.97054721,
2021-02-06,Bitfinex,LTC/USD,154.94,164.19,149.68,155.55,18159419.714623664,,,,,,116743.2961403,
2021-02-05,Bitfinex,LTC/USD,145.09,156.96,143.5,154.96,12702940.398941891,,,,,,81975.60918264,
2021-02-04,Bitfinex,LTC/USD,156.13,158.9,141.17,145.03,11852963.527248178,,,,,,81727.66687753,
2021-02-03,Bitfinex,LTC/USD,142.34,156.71,142.27,156.18,19852571.665429994,,,,,,127113.4054644,
2021-02-02,Bitfinex,LTC/USD,132.1,146.23,132.01,142.29,17581636.451759756,,,,,,123561.99628758,
2021-02-01,Bitfinex,LTC/USD,129.44,136.79,126.02,132.13,9046912.811346212,,,,,,68469.78590287,
2021-01-31,Bitfinex,LTC/USD,133.52,135.17,125.79,129.58,5315665.105486105,,,,,,41022.26505237,
2021-01-30,Bitfinex,LTC/USD,134.78,136.43,127.95,133.46,8331123.234326009,,,,,,62424.12134217,
2021-01-29,Bitfinex,LTC/USD,133.13,146.0,131.58,134.96,18536000.99053906,,,,,,137344.40567975,
2021-01-28,Bitfinex,LTC/USD,122.51,135.84,120.82,133.1,9828402.377462724,,,,,,73842.24175404,
2021-01-27,Bitfinex,LTC/USD,134.81,135.14,118.24,122.62,13879980.514709,,,,,,113195.07841061,
2021-01-26,Bitfinex,LTC/USD,137.13,139.83,128.47,134.82,12183046.77087448,,,,,,90365.27793261,
2021-01-25,Bitfinex,LTC/USD,141.26,147.96,136.68,137.03,12432497.597762244,,,,,,90728.29013911,
2021-01-24,Bitfinex,LTC/USD,137.65,142.94,134.1,141.17,6357702.101695902,,,,,,45035.7873606,
2021-01-23,Bitfinex,LTC/USD,137.88,143.97,135.22,137.73,5230724.779499859,,,,,,37978.10774341,
2021-01-22,Bitfinex,LTC/USD,129.76,142.14,123.0,138.06,19313017.059040967,,,,,,139888.57785775,
2021-01-21,Bitfinex,LTC/USD,149.77,150.24,125.74,129.73,26782317.437450416,,,,,,206446.60014993,
2021-01-20,Bitfinex,LTC/USD,151.74,156.25,138.17,149.92,20613881.233881228,,,,,,137499.20780337,
2021-01-19,Bitfinex,LTC/USD,152.31,166.69,150.46,151.93,22700263.99799921,,,,,,149412.65054959,
2021-01-18,Bitfinex,LTC/USD,143.03,155.0,138.67,152.06,16103535.42674746,,,,,,105902.50839634,
2021-01-17,Bitfinex,LTC/USD,143.62,147.13,136.27,143.05,6635512.792640411,,,,,,46385.96849102,
2021-01-16,Bitfinex,LTC/USD,143.61,152.82,139.11,143.7,11690148.802210588,,,,,,81351.0703007,
2021-01-15,Bitfinex,LTC/USD,152.3,155.47,130.38,143.91,16532715.041802788,,,,,,114882.32257524,
2021-01-14,Bitfinex,LTC/USD,147.33,156.84,143.31,152.59,17385178.309096072,,,,,,113933.92954385,
2021-01-13,Bitfinex,LTC/USD,133.51,148.38,125.95,147.26,17577211.290075198,,,,,,119361.74989865,
2021-01-12,Bitfinex,LTC/USD,139.02,147.35,128.0,133.79,35022389.28276082,,,,,,261771.35273758,
2021-01-11,Bitfinex,LTC/USD,170.3,170.78,112.75,139.02,100995030.8798076,,,,,,726478.42669981,
2021-01-10,Bitfinex,LTC/USD,177.43,185.75,162.14,170.28,36078678.01345968,,,,,,211878.54130526,
2021-01-09,Bitfinex,LTC/USD,172.05,179.19,163.09,177.38,22959685.104693685,,,,,,129437.84589409,
2021-01-08,Bitfinex,LTC/USD,169.07,181.58,149.55,172.0,43985559.90928032,,,,,,255729.99947256,
2021-01-07,Bitfinex,LTC/USD,169.26,181.26,160.86,169.29,65581185.114698544,,,,,,387389.59840923,
2021-01-06,Bitfinex,LTC/USD,158.67,169.71,155.11,168.84,39141262.75039339,,,,,,231824.58392794,
2021-01-05,Bitfinex,LTC/USD,155.39,162.97,146.28,158.61,29726409.517694484,,,,,,187418.25558095,
2021-01-04,Bitfinex,LTC/USD,160.88,173.47,139.53,155.35,51774293.25822633,,,,,,333275.14166866,
2021-01-03,Bitfinex,LTC/USD,136.98,164.73,135.36,161.27,65853626.13352197,,,,,,408343.93336344,
2021-01-02,Bitfinex,LTC/USD,126.32,142.18,123.27,136.92,32818933.44349271,,,,,,239694.22614295,
2022-12-27,Bitfinex,SOL/USD,11.369,11.442,10.716,11.095,1048297.4020694274,,,,,,,94483.76764934
2022-12-26,Bitfinex,SOL/USD,11.399,11.508,11.071,11.333,533621.2859178862,,,,,,,47085.61598146
2022-12-25,Bitfinex,SOL/USD,11.456,11.559,11.248,11.389,276239.1593116736,,,,,,,24254.9090624
2022-12-24,Bitfinex,SOL/USD,11.796,11.808,11.124,11.456,997916.7472753972,,,,,,,87108.65461552
2022-12-23,Bitfinex,SOL/USD,11.833,12.124,11.75,11.796,362196.59227586206,,,,,,,30705.03495048
2022-12-22,Bitfinex,SOL/USD,12.138,12.192,11.684,11.833,552824.760018417,,,,,,,46718.90137906
2022-12-21,Bitfinex,SOL/USD,12.261,12.29,11.911,12.157,332059.1567760526,,,,,,,27314.23515473
2022-12-20,Bitfinex,SOL/USD,11.939,12.488,11.847,12.27,378144.8293656135,,,,,,,30818.64950005
2022-12-19,Bitfinex,SOL/USD,12.398,12.587,11.681,11.945,545677.0798284272,,,,,,,45682.46796387
2022-12-18,Bitfinex,SOL/USD,12.531,12.614,12.271,12.368,331067.3055670864,,,,,,,26768.0551073
2022-12-17,Bitfinex,SOL/USD,12.245,12.553,11.928,12.52,503597.26191689074,,,,,,,40223.42347579
2022-12-16,Bitfinex,SOL/USD,14.062,14.169,12.016,12.248,1615844.0821974515,,,,,,,131927.17849424
2022-12-15,Bitfinex,SOL/USD,14.123,14.535,13.886,14.068,1467433.401950541,,,,,,,104310.02288531
2022-12-14,Bitfinex,SOL/USD,13.897,14.952,13.822,14.129,1609387.2649956928,,,,,,,113906.66466103
2022-12-13,Bitfinex,SOL/USD,13.339,14.246,12.774,13.909,986811.5213078448,,,,,,,70947.69726852
2022-12-12,Bitfinex,SOL/USD,13.412,13.51,12.826,13.324,700621.1998673568,,,,,,,52583.39836891
