Datetime,Symbol_Pair,Open,High,Low,Close,Volume_USD,Volume_in_XRP
2022-09-22,XRP/USD,0.39353,0.50064,0.39353,0.48616,11372918.999955691,23393366.38134707
2022-09-21,XRP/USD,0.41456,0.43361,0.38375,0.39346,9060723.874846105,23028322.76431176
2022-09-20,XRP/USD,0.38506,0.42423,0.37101,0.41388,5822457.958119262,14067985.78843931
2022-09-19,XRP/USD,0.35768,0.3934,0.34008,0.38482,5180039.938212578,13460942.61787999
2022-09-18,XRP/USD,0.37647,0.39796,0.3556,0.35767,7162730.397695898,20026086.60971258
2022-09-17,XRP/USD,0.35531,0.38121,0.34643,0.37629,2186132.547485074,5809701.42040733
2022-09-16,XRP/USD,0.32631,0.3584,0.32187,0.3555,2271973.954270747,6390925.32846905
2022-09-15,XRP/USD,0.34159,0.34287,0.32438,0.32662,1131706.4753627784,3464902.56372169
2022-09-14,XRP/USD,0.3325,0.3442,0.33134,0.34208,1428080.727743499,4174698.10495644
2022-09-13,XRP/USD,0.35985,0.36032,0.33076,0.33269,1657860.9937309227,4983200.55827023
2022-09-12,XRP/USD,0.35505,0.36012,0.34755,0.36,846543.3196173912,2351509.22115942
2022-09-11,XRP/USD,0.35779,0.36051,0.34838,0.35519,553598.8330737544,1558599.15277388
2022-09-10,XRP/USD,0.35709,0.36216,0.35144,0.35758,944612.1233497848,2641680.52841262
2022-09-09,XRP/USD,0.33936,0.35999,0.33936,0.35702,2351214.2661975203,6585665.41425556
2022-09-08,XRP/USD,0.33705,0.34362,0.32821,0.33943,1389390.5518846372,4093305.10527837
2022-09-07,XRP/USD,0.32122,0.3385,0.31259,0.33696,1211547.9293240905,3595524.48161233
2022-09-06,XRP/USD,0.333,0.34307,0.31797,0.32106,2348828.926730375,7315856.62097544
2022-09-05,XRP/USD,0.33189,0.33383,0.32243,0.33295,1111437.7412313404,3338152.09860742
2022-09-04,XRP/USD,0.32966,0.33278,0.32742,0.33179,418639.93955151347,1261761.77567592
2022-09-03,XRP/USD,0.3317,0.33584,0.32642,0.3297,839145.3059022978,2545178.36185107
2022-09-02,XRP/USD,0.3335,0.33537,0.32535,0.3317,1427433.1038043103,4303385.90233437
