Datetime,Symbol_Pair,Open,High,Low,Close,Volume_USD,Volume_in_LTC
2022-05-29,LTC/USD,63.022,64.392,61.84,63.632,4247366.211834348,66748.90325362
2022-05-28,LTC/USD,61.521,64.05,61.257,63.092,4309747.100943699,68308.93141672
2022-05-27,LTC/USD,63.402,64.12,60.862,61.493,2546076.083697205,41404.32380429
2022-05-26,LTC/USD,68.235,68.794,60.355,63.391,4427358.766011411,69842.07168228
2022-05-25,LTC/USD,70.226,71.726,67.766,68.258,4452991.519157227,65237.65007995
2022-05-24,LTC/USD,68.991,70.762,67.0,70.233,5897907.5375924315,83976.30084992
2022-05-23,LTC/USD,71.585,73.938,68.251,69.005,4688852.331809653,67949.45774668
2022-05-22,LTC/USD,69.901,72.534,69.343,71.639,1960423.0867554648,27365.30502597
2022-05-21,LTC/USD,68.572,70.649,67.829,69.866,2950004.575583099,42223.75083135
2022-05-20,LTC/USD,72.105,73.455,66.747,68.593,7133415.888709108,103996.26621826
2022-05-19,LTC/USD,65.908,72.747,64.576,72.119,5096786.376121576,70671.89473123
2022-05-18,LTC/USD,73.12,74.332,65.703,65.846,3811787.894725656,57889.43739522
2022-05-17,LTC/USD,67.214,73.862,66.919,73.08,7243445.527383845,99116.66019956
2022-05-16,LTC/USD,71.536,71.536,64.875,67.19,8347565.759852841,124238.21639906
2022-05-15,LTC/USD,68.891,71.7,65.933,71.559,12681759.716707103,177221.03043233
2022-05-14,LTC/USD,67.862,70.328,64.16,68.861,9237060.590461152,134140.66874517
2022-05-13,LTC/USD,64.489,73.426,63.306,67.817,12424508.634623917,183206.40303499
2022-05-12,LTC/USD,66.693,69.9,54.0,64.546,10495677.916731939,162607.72033483
2022-05-11,LTC/USD,80.205,82.891,64.159,66.475,10683562.419809073,160715.49334049
2022-05-10,LTC/USD,76.218,85.044,73.289,80.281,9892669.222298583,123225.53558499
2022-05-09,LTC/USD,93.941,94.965,75.32,76.369,10344885.663290711,135459.22643076
2022-05-08,LTC/USD,94.361,95.84,91.611,94.026,3501587.896803155,37240.63447135
2022-05-07,LTC/USD,96.691,97.437,92.73,94.332,2718682.4725573706,28820.36289443
2022-05-06,LTC/USD,96.881,98.423,92.88,96.68,4890328.632556858,50582.62962926
2022-05-05,LTC/USD,106.24,106.94,94.78,96.947,6990833.697465846,72109.85071705
2022-05-04,LTC/USD,99.343,107.24,99.046,106.2,6268946.27481738,59029.6259399
2022-05-03,LTC/USD,100.67,101.49,97.51,99.403,2183399.924667706,21965.13107922
2022-05-02,LTC/USD,99.28,101.94,98.37,100.7,2511255.177262064,24937.98587152
2022-05-01,LTC/USD,95.85,100.07,94.38,99.262,2454266.0148912407,24725.13162027
2022-04-30,LTC/USD,100.53,101.63,94.111,95.928,2529481.032375592,26368.53715678
2022-04-29,LTC/USD,103.36,104.56,98.326,100.4,4637936.657316112,46194.58822028
2022-04-28,LTC/USD,100.58,104.44,99.73,103.34,7828480.684310597,75754.60309958
2022-04-27,LTC/USD,98.614,101.94,97.74,100.64,1962799.8784974816,19503.17844294
2022-04-26,LTC/USD,104.59,105.39,96.411,98.649,3811786.808293824,38639.89303788
2022-04-25,LTC/USD,104.61,104.94,98.34,104.56,5752092.878636653,55012.36494488
2022-04-24,LTC/USD,105.23,106.02,103.5,104.59,1249450.6961130593,11946.17741766
2022-04-23,LTC/USD,105.35,107.23,104.3,105.16,2595000.4847027888,24676.68775868
2022-04-22,LTC/USD,106.7,108.73,104.78,105.39,2324121.478601876,22052.58068699
2022-04-21,LTC/USD,111.85,114.58,105.39,106.79,3381946.4084824943,31669.13014779
2022-04-20,LTC/USD,113.9,114.21,110.63,111.91,3330539.2127633705,29760.87224344
2022-04-19,LTC/USD,111.36,114.18,110.66,113.9,2111974.3076226613,18542.35564199
2022-04-18,LTC/USD,108.81,111.56,105.28,111.29,5407186.710390049,48586.45619903
2022-04-17,LTC/USD,114.41,115.23,108.36,108.88,3864851.2264738716,35496.4293394
2022-04-16,LTC/USD,110.96,114.96,110.24,114.42,4276807.447062001,37378.14584043
2022-04-15,LTC/USD,107.31,112.96,107.04,111.03,6352443.048216,57213.75347398
2022-04-14,LTC/USD,110.59,112.33,106.01,107.4,4643052.551206368,43231.40178032
2022-04-13,LTC/USD,104.97,110.84,104.02,110.61,5721803.170991386,51729.52871342
2022-04-12,LTC/USD,102.58,105.84,101.74,104.97,3483638.5691639916,33186.99218028
2022-04-11,LTC/USD,110.32,110.7,102.0,102.59,5056680.4967087405,49290.18907017
2022-04-10,LTC/USD,112.72,114.57,110.08,110.26,2627672.3436689517,23831.60115789
2022-04-09,LTC/USD,110.69,112.98,110.06,112.65,2156423.68617918,19142.6869612
2022-04-08,LTC/USD,114.05,115.26,109.57,110.76,2818172.2163413106,25443.95283804
2022-04-07,LTC/USD,111.67,114.98,110.09,114.14,1477632.4938685806,12945.79020386
2022-04-06,LTC/USD,122.65,123.24,111.25,111.78,5560193.723782275,49742.29489875
2022-04-05,LTC/USD,124.8,127.33,122.53,122.79,1616089.476742483,13161.40953451
2022-04-04,LTC/USD,128.83,128.83,121.19,124.81,3178120.4015248674,25463.66798754
2022-04-03,LTC/USD,124.83,129.52,123.76,128.7,2674948.4152496816,20784.36997086
2022-04-02,LTC/USD,124.95,128.36,123.63,124.79,3573635.3279448245,28637.19310798
2022-04-01,LTC/USD,123.84,126.46,119.17,124.96,1924998.2860605377,15404.91586156
2022-03-31,LTC/USD,131.07,132.86,121.08,123.91,5455810.949114444,44030.4329684
2022-03-30,LTC/USD,130.08,134.09,125.59,131.04,4537992.7904023435,34630.59211235
2022-03-29,LTC/USD,127.5,132.01,127.07,130.03,3472715.758990325,26707.03498416
2022-03-28,LTC/USD,129.65,132.71,126.78,127.43,3616885.4319292414,28383.31187263
2022-03-27,LTC/USD,124.93,129.71,123.31,129.55,2552817.7810299345,19705.27040548
2022-03-26,LTC/USD,123.92,125.61,121.97,124.9,1421141.5315122532,11378.23483997
2022-03-25,LTC/USD,126.41,127.28,121.65,123.95,2085897.474267532,16828.53952616
2022-03-24,LTC/USD,122.42,127.7,120.06,126.44,3374338.648044571,26687.27181307
2022-03-23,LTC/USD,122.79,124.52,118.61,122.55,1775514.7688795188,14488.08460938
2022-03-22,LTC/USD,116.09,124.31,115.64,122.79,5539762.21818512,45115.74410119
2022-03-21,LTC/USD,114.92,116.79,112.92,116.14,1836735.342722195,15814.83849425
2022-03-20,LTC/USD,116.82,118.47,111.29,114.77,2187782.057914059,19062.31644083
2022-03-19,LTC/USD,111.86,117.35,111.37,116.76,2843414.3877006173,24352.64121018
2022-03-18,LTC/USD,110.25,113.0,107.88,112.0,1407835.4489696,12569.9593658
2022-03-17,LTC/USD,111.39,111.77,108.73,110.3,1204494.512313006,10920.16783602
2022-03-16,LTC/USD,107.01,112.29,105.79,111.47,3760566.4201803464,33736.13008146
2022-03-15,LTC/USD,105.65,108.7,102.63,107.0,2147622.72963195,20071.24046385
2022-03-14,LTC/USD,101.72,106.48,100.82,105.79,2288889.932762634,21636.16535365
2022-03-13,LTC/USD,105.51,107.48,101.01,101.71,994058.5338131455,9773.45918605
2022-03-12,LTC/USD,104.5,107.99,104.5,105.47,1118311.71210527,10603.12612217
2022-03-11,LTC/USD,102.59,106.92,99.761,104.53,2669163.3966268827,25534.90286642
2022-03-10,LTC/USD,107.06,107.15,99.691,102.61,2283199.7239780333,22251.23987894
2022-03-09,LTC/USD,100.8,109.32,100.51,106.97,2684524.590163399,25096.05113736
2022-03-08,LTC/USD,98.43,102.65,97.791,100.75,2535288.1141694277,25164.15001657
2022-03-07,LTC/USD,101.14,103.98,96.274,98.45,3507311.358464359,35625.30582493
2022-03-06,LTC/USD,104.91,106.06,100.71,101.19,2077571.5395711511,20531.3918329
2022-03-05,LTC/USD,101.1,105.4,99.45,104.93,2061753.778580636,19648.8495052
2022-03-04,LTC/USD,111.88,112.71,99.027,101.1,4202037.144519015,41563.17650365
2022-03-03,LTC/USD,110.4,113.11,107.9,111.88,4638363.278869767,41458.37753727
2022-03-02,LTC/USD,112.74,114.8,109.2,110.39,3675453.9673322863,33295.17136817
2022-03-01,LTC/USD,113.87,116.31,110.02,112.67,5376841.900539176,47722.03692677
2022-02-28,LTC/USD,103.04,114.03,101.32,113.87,6397237.2168512745,56180.18105604
2022-02-27,LTC/USD,108.34,110.23,101.36,103.03,3982713.162894758,38655.85909827
2022-02-26,LTC/USD,109.46,115.38,106.66,108.21,4043088.027543072,37363.34929806
2022-02-25,LTC/USD,104.33,110.71,101.71,109.31,5116727.216615668,46809.32409309
2022-02-24,LTC/USD,105.58,108.05,91.673,104.34,11791915.35386231,113014.33154938
2022-02-23,LTC/USD,107.58,111.59,105.04,105.57,4458510.456453007,42232.74089659
2022-02-22,LTC/USD,102.85,107.99,100.38,107.59,6064240.553793447,56364.35127608
2022-02-21,LTC/USD,110.82,114.7,102.09,102.94,6653075.913941979,64630.61894251
2022-02-20,LTC/USD,115.66,115.81,108.58,110.73,4373285.486560541,39495.03735718
2022-02-19,LTC/USD,114.94,117.3,113.08,115.71,4038391.2119617327,34900.96976892
2022-02-18,LTC/USD,116.38,123.59,114.24,114.97,14063714.968286483,122325.08452889
2022-02-17,LTC/USD,127.94,129.07,115.0,116.44,7862865.030843938,67527.18164586
2022-02-16,LTC/USD,131.75,131.84,125.56,127.76,3609147.6508138743,28249.43371019
2022-02-15,LTC/USD,124.62,132.69,124.06,131.65,5006309.583050493,38027.41802545
2022-02-14,LTC/USD,125.86,127.06,121.43,124.7,3950760.8565587653,31682.12394995
2022-02-13,LTC/USD,126.79,128.97,123.57,125.7,3699463.498665465,29430.89497745
2022-02-12,LTC/USD,125.75,127.74,121.05,126.66,6977990.672373268,55092.29963977
2022-02-11,LTC/USD,134.75,134.93,124.92,125.8,9262773.803651165,73630.95233427
2022-02-10,LTC/USD,140.23,144.07,133.9,134.67,10413014.38006814,77322.45028639
2022-02-09,LTC/USD,133.93,141.12,132.12,140.15,8015420.152613004,57191.72424269
2022-02-08,LTC/USD,137.55,142.93,130.65,133.74,11191569.414310506,83681.54190452
2022-02-07,LTC/USD,127.72,139.91,125.15,137.45,11204410.966027671,81516.26748656
2022-02-06,LTC/USD,121.83,128.25,120.69,127.68,5644936.698401079,44211.59694863
2022-02-05,LTC/USD,121.47,123.89,118.9,121.93,5929397.365473365,48629.51993335
2022-02-04,LTC/USD,111.19,121.48,108.84,121.38,7222096.175468597,59499.88610536
2022-02-03,LTC/USD,108.25,111.23,105.5,110.99,3770245.611750919,33969.23697406
2022-02-02,LTC/USD,115.15,116.0,107.31,108.36,4988603.9158761455,46037.31926796
2022-02-01,LTC/USD,109.55,116.99,108.29,115.06,5637768.281777403,48998.50757672
2022-01-31,LTC/USD,108.66,111.48,104.4,109.61,5899700.288230904,53824.47119999
2022-01-30,LTC/USD,110.87,112.3,107.1,108.76,4111859.7928933385,37806.72851134
2022-01-29,LTC/USD,109.47,112.41,107.64,110.72,4084368.9253577916,36889.17020735
2022-01-28,LTC/USD,107.02,110.16,105.29,109.53,4816307.091415363,43972.49238944
2022-01-27,LTC/USD,106.93,110.03,102.94,107.15,7951978.778313068,74213.52102952
2022-01-26,LTC/USD,107.97,116.68,104.78,107.06,7165752.795025965,66932.12025991
2022-01-25,LTC/USD,109.62,110.0,105.31,107.9,4026169.9242973914,37313.90105929
2022-01-24,LTC/USD,112.43,112.47,97.409,109.59,14998442.972560303,136859.59460316
2022-01-23,LTC/USD,108.56,112.9,105.74,112.37,8817074.030515078,78464.66165805
2022-01-22,LTC/USD,114.6,117.12,96.335,108.48,14522481.260455584,133872.4304983
2022-01-21,LTC/USD,129.67,131.12,109.65,114.85,12200666.850075375,106231.31780649
2022-01-20,LTC/USD,136.34,142.96,128.97,129.92,5776033.637079507,44458.38698491
2022-01-19,LTC/USD,141.54,143.1,133.21,136.12,7405168.666284039,54401.76804499
2022-01-18,LTC/USD,151.25,153.5,138.66,141.58,17934944.17733712,126677.10253805
2022-01-17,LTC/USD,146.46,154.04,143.98,151.27,19925836.08143587,131723.64699832
2022-01-16,LTC/USD,147.73,149.0,143.23,146.41,7353603.261397559,50226.09972951
2022-01-15,LTC/USD,144.85,150.73,144.03,147.66,12540355.567488525,84927.23532093
2022-01-14,LTC/USD,136.89,146.46,135.9,144.69,17439101.20386143,120527.3426212
2022-01-13,LTC/USD,141.96,142.34,134.6,136.81,10075074.830353377,73642.82457681
2022-01-12,LTC/USD,131.57,142.18,130.95,142.01,9906609.263295848,69759.94129495
2022-01-11,LTC/USD,126.5,133.5,125.82,131.67,10706111.65855733,81310.18195912
2022-01-10,LTC/USD,130.85,131.54,120.73,126.55,12286943.119147418,97091.60900156
2022-01-09,LTC/USD,129.41,132.59,127.8,130.84,7114183.096111424,54373.15114729
2022-01-08,LTC/USD,131.37,134.69,124.84,129.33,12156186.58923392,93993.55593624
2022-01-07,LTC/USD,135.89,136.54,126.0,131.24,19074432.260945424,145340.08123244
2022-01-06,LTC/USD,135.32,138.11,132.4,136.03,16382539.617320934,120433.28396178
2022-01-05,LTC/USD,146.52,149.92,129.93,135.28,13842571.602045204,102325.33709377
2022-01-04,LTC/USD,148.42,151.67,145.28,146.52,8350109.4384331275,56989.55390686
2022-01-03,LTC/USD,151.13,151.25,146.0,148.42,7761170.070488934,52291.94226175
2022-01-02,LTC/USD,150.8,153.42,147.83,151.14,6289153.724675719,41611.44451949
2022-01-01,LTC/USD,146.2,151.03,146.18,150.72,5762018.292786931,38229.95151796
2021-12-31,LTC/USD,148.04,152.82,143.75,146.16,9622523.142449783,65835.5442149
2021-12-30,LTC/USD,145.58,150.05,142.61,148.1,9670573.512293208,65297.59292568
2021-12-29,LTC/USD,145.75,150.99,144.09,145.41,10736695.099804997,73837.39151231
2021-12-28,LTC/USD,155.92,155.95,144.44,145.68,10426392.27512222,71570.51259694
2021-12-27,LTC/USD,155.99,161.37,154.59,156.02,6560389.00491952,42048.38485399
2021-12-26,LTC/USD,157.85,158.55,153.16,155.93,10299689.713009331,66053.29130385
2021-12-25,LTC/USD,161.43,163.68,157.58,157.89,7183299.483723482,45495.59493143
2021-12-24,LTC/USD,163.74,166.82,160.23,161.18,9253123.589222431,57408.63375867
2021-12-23,LTC/USD,155.5,165.2,153.19,163.72,13568944.098265857,82878.96468523
2021-12-22,LTC/USD,154.78,160.17,153.02,155.43,10711310.407317452,68914.04752826
2021-12-21,LTC/USD,152.75,156.47,149.1,154.86,10763845.382921984,69506.94422654
2021-12-20,LTC/USD,153.31,157.47,145.29,152.81,10597526.210344957,69350.99934785
2021-12-19,LTC/USD,148.84,161.07,147.68,153.31,13336340.85995468,86989.37355655
2021-12-18,LTC/USD,144.01,150.4,142.9,148.79,4486348.134773028,30152.21543634
2021-12-17,LTC/USD,148.92,150.41,141.24,144.08,7896161.573168939,54804.00869773
2021-12-16,LTC/USD,153.67,156.78,148.65,148.87,6903799.719718311,46374.68744353
2021-12-15,LTC/USD,150.48,155.21,141.86,153.66,10854746.553203054,70641.32860343
2021-12-14,LTC/USD,144.72,152.05,143.16,150.71,9733561.007255303,64584.70577437
2021-12-13,LTC/USD,159.01,159.94,142.91,144.69,11955914.679594385,82631.24389795
2021-12-12,LTC/USD,158.29,162.96,153.37,159.12,8498237.458670108,53407.72661306
2021-12-11,LTC/USD,148.55,159.58,145.81,158.14,13477268.237768013,85223.65143397
2021-12-10,LTC/USD,151.5,160.05,147.66,148.51,17847417.01552179,120176.53367128
2021-12-09,LTC/USD,165.26,167.13,151.4,151.56,12017928.089070737,79294.85411105
2021-12-08,LTC/USD,162.13,170.32,156.1,165.22,12944421.356751803,78346.57642387
2021-12-07,LTC/USD,161.54,166.02,158.33,162.13,11114186.508217746,68551.07943143
