Datetime,Symbol_Pair,Open,High,Low,Close,Volume_USD,Volume_in_BTC
2022-05-09,BTC/USD,34075.0,34277.0,30100.0,30140.0,640482402.8261538,21250.24561467
2022-05-08,BTC/USD,35506.0,35541.0,33761.0,34064.0,224062978.36704272,6577.70603473
2022-05-07,BTC/USD,36041.0,36170.0,34854.0,35506.0,134254642.29031962,3781.1818366
2022-05-06,BTC/USD,36577.0,36685.0,35290.0,36040.0,273790948.8889888,7596.86317672
2022-05-05,BTC/USD,39708.11961676,39850.0,35501.0,36577.0,356190613.6979499,9738.10355409
2022-05-04,BTC/USD,37752.0,40046.0,37695.0,39708.11961676,208731764.24630934,5256.65194577
2022-05-03,BTC/USD,38526.0,38673.49243394,37555.0,37752.0,136803332.88305113,3623.73736181
2022-05-02,BTC/USD,38495.42135157,39208.80322028,38075.0,38521.0,138376564.77054548,3592.2370855
2022-05-01,BTC/USD,37659.0,38714.0,37406.13888176,38496.07041811,117712206.06706715,3057.77199565
2022-04-30,BTC/USD,38616.0,38811.0,37633.0,37660.0,109755541.9623278,2914.37976533
2022-04-29,BTC/USD,39756.0,39927.17935766,38200.0,38600.0,123261091.51788199,3193.29252637
2022-04-28,BTC/USD,39261.41542102,40383.0,38910.0,39757.81575497,184749130.69765183,4646.8631938
2022-04-27,BTC/USD,38133.0,39496.0,37900.0,39263.0,164813591.9507119,4197.6820913
2022-04-26,BTC/USD,40458.36692153,40809.0,37727.0,38132.0,180371388.87727982,4730.18433015
2022-04-25,BTC/USD,39473.0,40635.0,38200.0,40455.53559827,243209834.7092661,6011.7813573
2022-04-24,BTC/USD,39454.0,39973.0,38942.0,39480.58123889,86346535.6524974,2187.06343582
2022-04-23,BTC/USD,39722.57093894,40103.0,39312.0,39444.0,75610408.58494584,1916.90519686
2022-04-22,BTC/USD,40502.0,40799.0,39170.0,39726.0,164042321.70884797,4129.34404946
2022-04-21,BTC/USD,41364.07177753,42989.0,39789.0,40502.0,184648932.30038023,4559.00776012
2022-04-20,BTC/USD,41514.0,42223.0,40905.0,41364.0,154373690.0888107,3732.07837948
2022-04-19,BTC/USD,40823.0,41777.0,40601.0,41518.32114382,98761708.17833236,2378.75004233
2022-04-18,BTC/USD,39699.71930283,41127.50821203,38547.0,40822.0,203779996.43179747,4991.91603625
2022-04-17,BTC/USD,40408.0,40624.0,39563.0,39707.55271232,65791015.499616675,1656.88920635
2022-04-16,BTC/USD,40575.0,40717.0,40014.0,40408.0,60055123.93371544,1486.21866793
2022-04-15,BTC/USD,39948.01234606,40873.0,39777.0,40586.355501,89503879.16720855,2205.27017177
2022-04-14,BTC/USD,41166.0,41511.0,39575.0,39948.0,126451551.66274044,3165.40381653
2022-04-13,BTC/USD,40096.0,41555.0,39607.0,41155.0,188001513.3055144,4568.13299248
2022-04-12,BTC/USD,39560.17805141,40770.0,39300.0,40088.0,164653031.71647957,4107.28975545
2022-04-11,BTC/USD,42181.0,42437.0,39223.0,39566.0,265182705.24313906,6702.28744991
2022-04-10,BTC/USD,42780.0798286,44023.0,41933.0,42177.51505057,127719606.55038922,3028.1444129
2022-04-09,BTC/USD,42249.61563447,42824.0,42137.0,42780.0,82248224.3404038,1922.58588921
2022-04-08,BTC/USD,43441.0,43985.0,42137.0,42250.0,184441573.63242,4365.48103272
2022-04-07,BTC/USD,43194.82132932,43901.0,42804.0,43458.0,104357263.65841608,2401.33608676
2022-04-06,BTC/USD,45490.44735913,45520.0,43162.0,43195.91199284,252418973.62645128,5843.58477414
2022-04-05,BTC/USD,46594.0,47173.0,45359.0,45481.0,117611463.5425831,2585.94717668
2022-04-04,BTC/USD,46388.0,46900.0,45111.0,46611.0,160625846.14923897,3446.09311427
