Datetime,Symbol_Pair,Open,High,Low,Close,Volume_USD,Volume_in_DOGE
2022-03-05,DOG/USD,122120.0,126820.0,119540.0,125960.0,2821.8856588000003,0.02240303
2022-03-04,DOG/USD,130710.0,131040.0,118540.0,122130.0,2672.1152451,0.02187927
2022-03-03,DOG/USD,132620.0,135140.0,123950.0,128630.0,2903.835113,0.0225751
2022-03-02,DOG/USD,135050.0,137670.0,127470.0,132610.0,5041.0935623000005,0.03801443
2022-03-01,DOG/USD,134740.0,137890.0,124900.0,135050.0,4052.118529,0.03000458
2022-02-28,DOG/USD,124100.0,136620.0,119800.0,134320.0,16060.9285016,0.11957213
2022-02-27,DOG/USD,128220.0,140240.0,117830.0,121320.0,69263.52790680001,0.57091599
2022-02-26,DOG/USD,130170.0,137900.0,125440.0,128230.0,37279.7770278,0.29072586
2022-02-25,DOG/USD,121550.0,130480.0,121120.0,130170.0,5091.1387482,0.03911146
2022-02-24,DOG/USD,129580.0,129580.0,108790.0,122550.0,78844.611144,0.64336688
2022-02-23,DOG/USD,129900.0,138320.0,127310.0,129580.0,3025.4221778,0.02334791
2022-02-22,DOG/USD,129390.0,132120.0,123290.0,129870.0,4641.8057478,0.03574194
2022-02-21,DOG/USD,135120.0,143230.0,126270.0,129040.0,5980.7239832,0.04634783
2022-02-20,DOG/USD,141500.0,142920.0,134220.0,135120.0,4182.1910016,0.03095168
2022-02-19,DOG/USD,139940.0,146710.0,137300.0,141510.0,25947.3273738,0.18336038
2022-02-18,DOG/USD,139730.0,143770.0,136590.0,139850.0,2815.4154479999997,0.02013168
2022-02-17,DOG/USD,148350.0,150640.0,137040.0,139740.0,18309.7786578,0.13102747
2022-02-16,DOG/USD,149030.0,152750.0,144140.0,148340.0,3003.3821274,0.02024661
2022-02-15,DOG/USD,147110.0,153010.0,144380.0,148850.0,3764.6278669999997,0.02529142
2022-02-14,DOG/USD,154790.0,156190.0,141340.0,147110.0,11376.0133578,0.07732998
2022-02-13,DOG/USD,144790.0,158780.0,142480.0,152130.0,6428.2014258,0.04225466
2022-02-12,DOG/USD,143430.0,147840.0,140050.0,144810.0,5651.5664826,0.03902746
2022-02-11,DOG/USD,151710.0,156180.0,142170.0,143510.0,4750.6416671,0.03310321
2022-02-10,DOG/USD,160490.0,162380.0,147960.0,149920.0,10759.178209599999,0.07176613
2022-02-09,DOG/USD,155820.0,161590.0,151580.0,160490.0,10957.0808083,0.06827267
2022-02-08,DOG/USD,166840.0,171620.0,150980.0,155830.0,8257.4488413,0.05299011
2022-02-07,DOG/USD,155470.0,174120.0,152960.0,166830.0,16572.028020600002,0.09933482
2022-02-06,DOG/USD,144500.0,156980.0,141410.0,155220.0,12003.569276400001,0.07733262
2022-02-05,DOG/USD,147320.0,151330.0,141870.0,143400.0,5220.359412,0.03640418
2022-02-04,DOG/USD,137460.0,147320.0,135170.0,147320.0,21719.3124668,0.14742949
2022-02-03,DOG/USD,134980.0,142490.0,133420.0,137460.0,6963.9971454,0.05066199
2022-02-02,DOG/USD,144200.0,147310.0,134830.0,134910.0,3905.4623715,0.02894865
2022-02-01,DOG/USD,143190.0,146480.0,139330.0,141910.0,4482.6899766,0.03158826
2022-01-31,DOG/USD,137900.0,145180.0,132810.0,143280.0,18393.7691592,0.12837639
2022-01-30,DOG/USD,145210.0,146630.0,136300.0,137830.0,4906.7176774,0.03559978
2022-01-29,DOG/USD,140880.0,148310.0,138880.0,145210.0,5787.1732022,0.03985382
2022-01-28,DOG/USD,139800.0,144540.0,136720.0,140870.0,6965.301654299999,0.04944489
2022-01-27,DOG/USD,143370.0,146800.0,134810.0,139990.0,16635.210485800002,0.11883142000000001
2022-01-26,DOG/USD,141140.0,154040.0,139690.0,143380.0,11001.6233914,0.07673053
2022-01-25,DOG/USD,139220.0,148110.0,132760.0,140820.0,30931.2791676,0.21965118
2022-01-24,DOG/USD,143720.0,147720.0,125810.0,139280.0,35615.118878400004,0.25570878
2022-01-23,DOG/USD,134850.0,145750.0,129880.0,143970.0,54073.103462700004,0.37558591
2022-01-22,DOG/USD,140000.0,158100.0,118540.0,134670.0,74830.79818829999,0.55566049
2022-01-21,DOG/USD,155880.0,159970.0,140000.0,140010.0,38405.4234486,0.27430486
2022-01-20,DOG/USD,165100.0,174100.0,151770.0,152620.0,83780.6848996,0.54894958
2022-01-19,DOG/USD,168840.0,184970.0,157790.0,165280.0,125945.69044800001,0.7620141
2022-01-18,DOG/USD,171040.0,176400.0,160190.0,167750.0,178386.78258499998,1.06340854
2022-01-17,DOG/USD,178790.0,179040.0,165070.0,171040.0,10147.3909936,0.05932759
2022-01-16,DOG/USD,185910.0,186720.0,161260.0,179010.0,64623.8129472,0.36100672
2022-01-15,DOG/USD,181590.0,193880.0,181430.0,183260.0,73280.2751604,0.39987054
2022-01-14,DOG/USD,170970.0,205860.0,170970.0,184650.0,206956.9331505,1.12080657
2022-01-13,DOG/USD,162530.0,176250.0,159270.0,172030.0,133517.95871489999,0.77613183
2022-01-12,DOG/USD,155210.0,162920.0,151180.0,161620.0,32944.0244222,0.20383631
2022-01-11,DOG/USD,143810.0,167790.0,139710.0,154840.0,27169.279312000002,0.1754668
2022-01-10,DOG/USD,152340.0,153850.0,138200.0,144180.0,40240.1751822,0.27909679
2022-01-09,DOG/USD,151660.0,155390.0,148940.0,153940.0,18004.896291200002,0.11696048
2022-01-08,DOG/USD,154280.0,157090.0,145690.0,153190.0,922.433585,0.0060215
2022-01-07,DOG/USD,161600.0,162390.0,149610.0,154450.0,6708.857006,0.04343708
2022-01-06,DOG/USD,159430.0,163680.0,151680.0,161300.0,18078.066877,0.11207729
2022-01-05,DOG/USD,168890.0,177640.0,149860.0,160160.0,19602.9898064,0.12239629
2022-01-04,DOG/USD,170300.0,177120.0,165240.0,168890.0,13215.301342199999,0.07824798
2022-01-03,DOG/USD,175510.0,176970.0,165560.0,170310.0,5533.136872200001,0.03248862
2022-01-02,DOG/USD,177410.0,180420.0,170050.0,176090.0,10377.3200319,0.058931910000000004
2022-01-01,DOG/USD,172210.0,174710.0,168150.0,171530.0,6747.5630903,0.03933751
2021-12-31,DOG/USD,169820.0,178330.0,165580.0,171990.0,10819.254536999999,0.0629063
2021-12-30,DOG/USD,172850.0,177800.0,164300.0,172400.0,32367.227656,0.18774494
2021-12-29,DOG/USD,173680.0,178130.0,166790.0,170190.0,39031.2741879,0.22933941
2021-12-28,DOG/USD,189970.0,190680.0,165010.0,175600.0,109304.90843600001,0.62246531
2021-12-27,DOG/USD,192020.0,197700.0,184580.0,189050.0,15008.910141,0.07939122
2021-12-26,DOG/USD,190390.0,193480.0,185920.0,192100.0,17704.879211,0.09216491
2021-12-25,DOG/USD,187710.0,194720.0,184390.0,192730.0,3879.9150855,0.02013135
2021-12-24,DOG/USD,184760.0,197450.0,178060.0,187380.0,93470.9733918,0.49883111
2021-12-23,DOG/USD,176170.0,185460.0,170410.0,184760.0,70473.5869464,0.38143314
2021-12-22,DOG/USD,172200.0,180570.0,166500.0,174570.0,43271.6941173,0.24787589000000002
2021-12-21,DOG/USD,169080.0,173340.0,165220.0,172550.0,8758.1186245,0.05075699
2021-12-20,DOG/USD,170370.0,172870.0,161280.0,166390.0,7623.7485345,0.04581855
2021-12-19,DOG/USD,173950.0,176930.0,167160.0,170830.0,5685.5145193,0.03328171
2021-12-18,DOG/USD,168690.0,176420.0,164920.0,173250.0,8434.430235,0.04868358
2021-12-17,DOG/USD,176490.0,178840.0,165180.0,167640.0,7257.2730648,0.04329082
2021-12-16,DOG/USD,182300.0,186670.0,172320.0,175590.0,2103.0783039000003,0.01197721
2021-12-15,DOG/USD,191380.0,195530.0,169400.0,182840.0,68745.316808,0.3759862
2021-12-14,DOG/USD,158380.0,219620.0,155940.0,190090.0,59443.7453321,0.31271369
2021-12-13,DOG/USD,171840.0,172020.0,151920.0,159250.0,1091.1825925,0.00685201
2021-12-12,DOG/USD,167890.0,174720.0,161240.0,171630.0,78096.5277246,0.45502842
2021-12-11,DOG/USD,164180.0,172840.0,161470.0,166930.0,11798.6524632,0.07068024
2021-12-10,DOG/USD,171200.0,179470.0,160010.0,166150.0,223108.00943550002,1.34281077
2021-12-09,DOG/USD,180920.0,181450.0,168700.0,172380.0,19079.27697,0.1106815
2021-12-08,DOG/USD,175410.0,183610.0,171330.0,177400.0,5494.801792,0.03097408
