Datetime,Symbol_Pair,Open,High,Low,Close,Volume_USD,Volume_in_SOL
2022-10-12,SOL/USD,30.799,31.418,30.7,31.18,349263.7447229688,11201.53126116
2022-10-11,SOL/USD,31.954,31.954,30.41,30.804,638767.8713199171,20736.523546290002
2022-10-10,SOL/USD,32.936,33.46,31.86,31.946,391923.80474579736,12268.32169116
2022-10-09,SOL/USD,32.571,33.136,32.456,32.919,174980.12234270794,5315.47502484
2022-10-08,SOL/USD,32.998,33.07,32.371,32.589,141754.4519489546,4349.76378376
2022-10-07,SOL/USD,33.346,33.768,32.423,32.998,1728029.6160563093,52367.707620350004
2022-10-06,SOL/USD,34.026,34.481,33.242,33.36,550592.5709728776,16504.57347041
2022-10-05,SOL/USD,34.117,34.362,33.19,34.029,681524.9075893883,20027.76771546
2022-10-04,SOL/USD,32.893,34.385,32.855,34.13,920856.1315865684,26980.84182791
2022-10-03,SOL/USD,32.089,33.24,31.721,32.89,830019.7807818773,25236.23535366
2022-10-02,SOL/USD,32.434,33.023,31.895,32.073,554877.1568648076,17300.44451298
2022-10-01,SOL/USD,33.251,33.251,32.332,32.431,305355.47804356966,9415.54309283
2022-09-30,SOL/USD,33.954,35.211,32.631,33.248,2743487.4515777156,82515.86415958
2022-09-29,SOL/USD,33.255,34.4,32.622,33.938,931195.9220899969,27438.149628440002
2022-09-28,SOL/USD,32.697,33.805,31.657,33.24,736865.0352732781,22168.02151845
2022-09-27,SOL/USD,33.919,35.47,32.097,32.71,1207486.6178951955,36914.90730343
2022-09-26,SOL/USD,32.336,33.972,31.88,33.892,612128.252751995,18061.14282875
2022-09-25,SOL/USD,33.409,34.06,31.909,32.298,451904.10822295834,13991.70562335
2022-09-24,SOL/USD,33.695,34.82,33.142,33.409,1077201.7542097175,32242.86133107
2022-09-23,SOL/USD,32.422,33.975,31.242,33.69,600418.9091432937,17821.87323073
2022-09-22,SOL/USD,30.669,32.846,30.603,32.426,323173.2709801559,9966.48587492
2022-09-21,SOL/USD,31.442,33.472,30.021,30.722,1691392.7661969701,55054.77397946
2022-09-20,SOL/USD,32.635,32.91,31.314,31.421,469746.0902005677,14950.0681137
2022-09-19,SOL/USD,31.124,33.108,30.461,32.648,1224976.2255625848,37520.71261831
2022-09-18,SOL/USD,33.693,34.0,30.79,31.111,1067225.9526148613,34303.81384767
2022-09-17,SOL/USD,32.267,33.9,32.251,33.72,640596.6629872248,18997.52855834
2022-09-16,SOL/USD,33.111,33.274,31.482,32.263,782877.7557040086,24265.49780566
2022-09-15,SOL/USD,34.075,34.878,32.467,33.095,1331121.423980268,40221.2244744
2022-09-14,SOL/USD,32.98,34.338,32.716,34.129,479739.72931344,14056.65941907
2022-09-13,SOL/USD,37.451,38.949,32.949,32.997,2049458.67450539,62110.45472332
2022-09-12,SOL/USD,34.981,38.409,34.429,37.469,1647201.619382304,43961.71820391
2022-09-11,SOL/USD,35.043,35.99,34.032,34.987,446987.3101304841,12775.81130507
2022-09-10,SOL/USD,34.71,35.415,34.282,35.03,765113.5508911163,21841.66574054
2022-09-09,SOL/USD,33.65,35.942,33.636,34.73,1362023.5113579712,39217.49240881
2022-09-08,SOL/USD,32.702,34.0,31.991,33.616,1571493.5264559556,46748.37953522
2022-09-07,SOL/USD,30.88,32.988,30.275,32.678,1757654.1014789145,53787.07697775
2022-09-06,SOL/USD,32.178,33.898,30.429,30.88,1370709.4031006382,44388.25787243
2022-09-05,SOL/USD,32.182,32.505,31.159,32.176,295029.12256878754,9169.22931902
2022-09-04,SOL/USD,31.13,32.2,31.014,32.115,738260.7810417125,22988.03615263
2022-09-03,SOL/USD,31.22,31.278,30.794,31.13,456021.80458094366,14648.94971349
2022-09-02,SOL/USD,31.58,32.37,30.783,31.243,743923.8827688344,23810.89788973
2022-09-01,SOL/USD,31.429,31.789,30.46,31.604,310833.2729857763,9835.25101208
2022-08-31,SOL/USD,31.535,33.042,31.181,31.509,796131.0798917874,25266.78345526
2022-08-30,SOL/USD,32.444,33.156,30.693,31.436,636363.4543443128,20243.1433498
2022-08-29,SOL/USD,30.425,32.669,30.009,32.444,600957.4192088002,18522.91391964
2022-08-28,SOL/USD,31.472,32.24,30.231,30.412,469024.145118735,15422.33806125
2022-08-27,SOL/USD,31.737,32.279,30.926,31.515,461000.14648357726,14627.95959015
2022-08-26,SOL/USD,35.252,35.782,31.387,31.739,867444.8015707693,27330.56496962
2022-08-25,SOL/USD,34.899,36.5,34.862,35.299,536464.3897668289,15197.72202518
2022-08-24,SOL/USD,35.615,36.371,34.31,34.899,569531.3122993645,16319.41638154
2022-08-23,SOL/USD,35.381,36.098,34.219,35.631,688962.0907428414,19336.03016314
2022-08-22,SOL/USD,36.461,36.534,33.794,35.464,831233.4052473994,23438.79441821
2022-08-21,SOL/USD,35.303,37.031,34.475,36.472,1368652.1219930733,37526.10556024
2022-08-20,SOL/USD,35.812,37.269,34.197,35.31,1499806.0253328173,42475.39012554
2022-08-19,SOL/USD,39.505,39.543,35.057,35.809,3532914.5442350074,98659.96102195
2022-08-18,SOL/USD,40.524,41.636,39.317,39.522,778317.7559035948,19693.27857658
2022-08-17,SOL/USD,43.08,44.687,40.167,40.532,1450881.6943370057,35795.956141740004
2022-08-16,SOL/USD,43.73,44.3,42.543,43.15,960018.838292598,22248.40876692
2022-08-15,SOL/USD,44.823,47.246,42.771,43.737,1523535.118418087,34834.01052697
2022-08-14,SOL/USD,46.594,48.073,44.39,44.798,1638767.0606751244,36581.25498181
2022-08-13,SOL/USD,45.471,48.431,45.262,46.528,2117422.615266922,45508.56721258
2022-08-12,SOL/USD,42.842,45.5,42.135,45.428,1368319.4532330558,30120.61841228
2022-08-11,SOL/USD,42.467,45.295,42.371,42.745,3217722.0146699524,75277.15556603001
2022-08-10,SOL/USD,40.301,42.849,39.144,42.473,2983033.5869726287,70233.6445971
2022-08-09,SOL/USD,42.196,42.745,39.757,40.321,4107292.9852109626,101864.85913571
2022-08-08,SOL/USD,40.582,43.772,40.581,42.269,1759945.3365142264,41636.78668798
2022-08-07,SOL/USD,40.045,41.556,39.159,40.585,689933.8237858992,16999.72462205
2022-08-06,SOL/USD,40.578,40.867,39.81,40.047,431799.03706926794,10782.30671634
2022-08-05,SOL/USD,38.889,41.339,38.715,40.6,1237255.3849767582,30474.27056593
2022-08-04,SOL/USD,38.52,39.85,37.967,38.784,1490556.9701166067,38432.26511233
2022-08-03,SOL/USD,39.751,41.01,37.454,38.601,4777839.850296862,123775.02785671
2022-08-02,SOL/USD,41.655,42.438,39.484,39.755,1577541.405067719,39681.5848338
2022-08-01,SOL/USD,42.318,43.25,40.58,41.655,2059187.129575732,49434.33272298
2022-07-31,SOL/USD,43.837,45.131,42.21,42.411,1533162.6998362073,36150.11906902
2022-07-30,SOL/USD,41.93,46.66,41.413,43.837,2455936.345635746,56024.27961849
2022-07-29,SOL/USD,42.933,44.442,41.155,41.892,1951600.1722893282,46586.46453474
2022-07-28,SOL/USD,40.24,44.16,39.03,42.927,3068976.5753654577,71492.91996565
2022-07-27,SOL/USD,36.295,40.487,35.687,40.223,1849337.8949685423,45977.12490288
2022-07-26,SOL/USD,36.674,36.827,34.668,36.355,1573373.3085860398,43278.04452169
2022-07-25,SOL/USD,40.934,41.084,36.548,36.607,2438347.5564728314,66608.77855254
2022-07-24,SOL/USD,39.957,42.092,39.461,40.963,1339753.804776145,32706.43763338
2022-07-23,SOL/USD,40.523,41.95,38.6,39.957,1928415.8136225883,48262.27728865
2022-07-22,SOL/USD,43.1,44.306,40.048,40.518,2812372.795440319,69410.45450023
2022-07-21,SOL/USD,41.983,44.066,39.626,43.109,3099198.7006465006,71892.15014606
2022-07-20,SOL/USD,44.863,46.336,41.285,41.984,2679016.852129321,63810.42425994
2022-07-19,SOL/USD,43.56,47.69,42.521,44.891,5487737.3133930545,122245.82462839
2022-07-18,SOL/USD,38.583,44.041,38.548,43.485,3680389.275077379,84635.83477239
2022-07-17,SOL/USD,39.625,41.115,38.278,38.596,1448390.2667812651,37526.95270964
2022-07-16,SOL/USD,37.366,40.455,36.347,39.659,1791920.5595206546,45183.20077462
2022-07-15,SOL/USD,37.137,39.11,36.508,37.396,1029141.7422040245,27520.1022089
2022-07-14,SOL/USD,34.915,37.3,33.552,37.129,2619526.071045783,70552.02324452
2022-07-13,SOL/USD,32.651,35.053,31.8,34.97,2585100.6140410034,73923.38044155
2022-07-12,SOL/USD,33.397,34.557,32.546,32.618,1220647.5399587469,37422.51333493
2022-07-11,SOL/USD,36.7,36.73,33.222,33.444,1266580.0796755785,37871.66845101
2022-07-10,SOL/USD,37.994,38.075,36.267,36.703,1066846.519522841,29067.01140296
2022-07-09,SOL/USD,38.07,38.92,37.791,38.069,677935.5591045123,17808.07373728
2022-07-08,SOL/USD,38.444,39.679,36.444,38.146,2725051.3803720814,71437.40838809
2022-07-07,SOL/USD,37.035,39.2,36.38,38.495,1443829.5720780445,37506.93783811
2022-07-06,SOL/USD,35.388,37.601,34.791,37.034,1721774.015245555,46491.71073191
2022-07-05,SOL/USD,36.731,36.97,33.1,35.445,2528743.989912396,71342.75609853
2022-07-04,SOL/USD,33.342,36.947,32.438,36.671,1998436.865012875,54496.38310962
2022-07-03,SOL/USD,33.33,33.71,32.132,33.412,617785.7219179176,18489.93540997
2022-07-02,SOL/USD,32.862,34.159,31.859,33.321,1161204.6463894127,34849.03353409
2022-07-01,SOL/USD,33.776,35.362,31.859,32.883,2255967.016947429,68605.87589172
2022-06-30,SOL/USD,34.058,34.21,30.869,33.869,3040519.2866110415,89772.92765098
2022-06-29,SOL/USD,35.304,36.119,33.08,34.069,2849547.1234966954,83640.4685637
2022-06-28,SOL/USD,38.46,39.9,35.047,35.308,2896839.4989035428,82044.84816199
2022-06-27,SOL/USD,39.4,41.25,37.872,38.46,4556984.293486025,118486.33108388
2022-06-26,SOL/USD,42.199,42.644,39.21,39.458,2851843.887248644,72275.42924752
2022-06-25,SOL/USD,41.895,42.611,39.731,42.258,1784167.9463345676,42220.83265499
2022-06-24,SOL/USD,38.118,42.907,37.65,41.921,7888755.925996894,188181.48245502
2022-06-23,SOL/USD,34.066,38.577,33.85,38.063,2913898.118971045,76554.60996167
2022-06-22,SOL/USD,36.39,36.769,33.583,34.068,3417964.659161144,100327.71689447999
2022-06-21,SOL/USD,35.233,39.19,34.21,36.289,3824525.275431768,105390.75960847
2022-06-20,SOL/USD,34.15,36.83,31.722,35.233,7175006.9524029335,203644.50805787
2022-06-19,SOL/USD,31.994,35.39,28.695,34.204,5096336.083886253,148998.24827173
2022-06-18,SOL/USD,30.618,32.04,27.129,32.009,7473961.668396059,233495.63149102
2022-06-17,SOL/USD,30.099,32.149,29.264,30.629,3494835.1827995526,114102.16405366
2022-06-16,SOL/USD,34.757,36.0,29.562,29.998,4509222.137590904,150317.42574808
2022-06-15,SOL/USD,29.592,34.96,26.766,34.756,5344170.647714004,153762.53446064
2022-06-14,SOL/USD,28.656,32.222,25.82,29.558,5403716.636812458,182817.397551
2022-06-13,SOL/USD,30.645,31.169,26.12,28.66,7825039.224606076,273029.97992345
2022-06-12,SOL/USD,33.891,34.56,30.621,30.63,3828205.285295648,124982.21630087
2022-06-11,SOL/USD,37.169,37.959,33.176,33.916,2186027.609384645,64454.16940042
2022-06-10,SOL/USD,39.947,40.953,36.804,37.174,2794333.6688632322,75169.03397168
2022-06-09,SOL/USD,38.903,41.955,38.5,39.986,1985479.382006716,49654.36357742
2022-06-08,SOL/USD,39.343,40.959,38.306,38.907,1906239.0974503176,48994.75923228
2022-06-07,SOL/USD,42.37,42.721,37.119,39.322,9016473.165734155,229298.43766172
2022-06-06,SOL/USD,38.544,44.821,38.362,42.396,5518710.775881228,130170.55325694
2022-06-05,SOL/USD,39.022,40.251,37.83,38.528,2936328.3113349965,76212.84030666
2022-06-04,SOL/USD,38.338,39.569,35.734,39.0,3360404.6371155004,86164.2214645
2022-06-03,SOL/USD,40.882,41.562,37.671,38.316,2454214.9805125217,64051.96211798
2022-06-02,SOL/USD,40.154,41.65,38.21,40.911,3687248.7201905358,90128.54049499
2022-06-01,SOL/USD,45.785,46.067,39.55,40.158,3748429.817994785,93342.04437459
2022-05-31,SOL/USD,47.21,48.235,44.567,45.747,3370823.251136233,73684.02848572
2022-05-30,SOL/USD,44.986,48.391,44.255,47.259,5434136.348818091,114986.27454703
2022-05-29,SOL/USD,44.243,45.681,41.84,44.975,3990533.9419603543,88727.82527983
2022-05-28,SOL/USD,41.178,45.096,40.348,44.243,2909204.647238532,65755.13973371
2022-05-27,SOL/USD,43.474,43.918,39.96,41.09,6162618.646638713,149978.55066047
2022-05-26,SOL/USD,48.147,48.638,41.636,43.38,6602110.325680275,152192.49252375
2022-05-25,SOL/USD,49.53,50.552,47.543,47.969,1074631.5275376402,22402.6251858
2022-05-24,SOL/USD,49.119,50.834,47.053,49.649,1750316.5376937697,35253.81251775
2022-05-23,SOL/USD,52.416,54.629,48.592,49.07,5383913.856412622,109719.05148589
2022-05-22,SOL/USD,50.339,53.138,49.674,52.473,3587946.3872760227,68377.00126305
2022-05-21,SOL/USD,49.504,51.245,48.381,50.32,1852851.2458615198,36821.368161
2022-05-20,SOL/USD,52.164,53.614,47.775,49.419,3319447.908791234,67169.46738686
2022-05-19,SOL/USD,49.902,54.276,48.123,52.162,3594755.648835582,68915.218911
2022-05-18,SOL/USD,57.034,57.83,49.32,49.825,4038659.665407958,81056.89243167
2022-05-17,SOL/USD,53.83,58.178,52.974,57.053,3010607.72380976,52768.61381189
2022-05-16,SOL/USD,58.751,58.751,51.851,53.767,6200569.320629567,115322.95498409
2022-05-15,SOL/USD,52.468,59.279,49.677,58.804,8328015.8043838125,141623.28760601
2022-05-14,SOL/USD,48.988,53.843,45.882,52.471,4090146.449306598,77950.60984747
2022-05-13,SOL/USD,44.689,56.449,43.931,48.961,6111080.130418763,124815.26378993
2022-05-12,SOL/USD,50.968,54.412,37.049,44.643,26716524.9300812,598448.24339944
2022-05-11,SOL/USD,66.98,68.578,43.333,50.998,18989792.305416785,372363.47122273
2022-05-10,SOL/USD,62.522,74.035,60.211,66.769,7140927.978168559,106949.75180351
2022-05-09,SOL/USD,75.563,77.315,61.641,62.318,6504935.7592348,104382.93525522
2022-05-08,SOL/USD,78.904,79.465,73.792,75.587,1988623.5814346997,26309.06877419
2022-05-07,SOL/USD,81.722,82.323,77.163,78.853,1197117.2673616398,15181.63249796
2022-05-06,SOL/USD,84.579,84.74,80.001,81.666,1185104.4580540853,14511.6016219
2022-05-05,SOL/USD,92.79,95.257,81.368,84.496,3926724.1603305545,46472.30827886
2022-05-04,SOL/USD,85.941,93.0,85.453,92.83,2099431.8257647827,22615.87661063
2022-05-03,SOL/USD,87.506,88.817,84.66,85.914,1077624.0479494997,12543.0552407
2022-05-02,SOL/USD,89.804,90.954,85.16,87.542,2069687.1541956244,23642.2192113
2022-05-01,SOL/USD,84.676,93.239,84.129,89.704,6198178.662860951,69095.90054915
2022-04-30,SOL/USD,94.035,94.988,82.0,84.748,3333564.1772150467,39335.01884664
2022-04-29,SOL/USD,98.281,98.684,92.421,93.96,1466483.7448686995,15607.53240601
2022-04-28,SOL/USD,98.359,100.57,96.493,98.223,1389094.820675547,14142.25609761
2022-04-27,SOL/USD,95.716,100.83,94.931,98.351,1658209.9582420753,16860.12301087
2022-04-26,SOL/USD,101.15,102.07,94.63,95.794,1815397.656865827,18951.05807113
2022-04-25,SOL/USD,99.492,101.62,94.418,101.02,3383552.9885579958,33493.89218529
2022-04-24,SOL/USD,100.69,102.23,98.577,99.317,1056688.5024987317,10639.55317316
2022-04-23,SOL/USD,100.57,102.98,98.083,100.55,1725669.4334403544,17162.30167519
2022-04-22,SOL/USD,101.86,103.57,99.38,100.51,1841368.1722462233,18320.24845534
2022-04-21,SOL/USD,105.57,109.97,100.0,101.82,3613722.2805532413,35491.28148255
2022-04-20,SOL/USD,108.6,110.94,104.35,105.61,3618172.3767074966,34259.75169688
