Datetime,Exchange,Symbol_Pair,Open,High,Low,Close,Volume_in_LTC,Volume_USD
2022-10-13 04:00:00,Gemini,LTC/USD,51.89,52.57,48.31,52.43,27575.55906,1445786.5615158
2022-10-12 04:00:00,Gemini,LTC/USD,52.18,52.53,51.55,51.89,5650.33815,293196.04660349997
2022-10-11 04:00:00,Gemini,LTC/USD,51.65,52.59,51.37,52.18,8436.20877,440201.37361859996
2022-10-10 04:00:00,Gemini,LTC/USD,53.98,54.39,51.3,51.65,6918.14198,357322.033267
2022-10-09 04:00:00,Gemini,LTC/USD,52.85,54.46,52.81,53.98,7835.8411,422978.70257799997
2022-10-08 04:00:00,Gemini,LTC/USD,53.2,53.53,52.46,52.85,5003.05565,264411.4911025
2022-10-07 04:00:00,Gemini,LTC/USD,53.51,53.85,52.31,53.2,6661.17795,354374.66694
2022-10-06 04:00:00,Gemini,LTC/USD,54.72,54.77,53.24,53.51,3181.4894,170241.497794
2022-10-05 04:00:00,Gemini,LTC/USD,54.94,55.19,53.35,54.72,5475.36532,299611.99031039997
2022-10-04 04:00:00,Gemini,LTC/USD,54.34,55.8,53.89,54.94,10958.09656,602037.8250064
2022-10-03 04:00:00,Gemini,LTC/USD,52.43,54.47,51.99,54.34,10356.70667,562783.4404478
2022-10-02 04:00:00,Gemini,LTC/USD,52.97,53.43,51.5,52.43,5248.69251,275188.9482993
2022-10-01 04:00:00,Gemini,LTC/USD,53.47,53.83,52.5,52.97,8751.17893,463549.94792209996
2022-09-30 04:00:00,Gemini,LTC/USD,53.63,55.08,52.9,53.47,19402.01394,1037425.6853718
2022-09-29 04:00:00,Gemini,LTC/USD,53.51,54.19,52.27,53.63,14314.06279,767663.1874277
2022-09-28 04:00:00,Gemini,LTC/USD,51.9,53.81,51.9,53.51,3739.09254,200078.8418154
2022-09-27 04:00:00,Gemini,LTC/USD,54.93,55.58,51.02,51.9,12658.3107,656966.32533
2022-09-26 04:00:00,Gemini,LTC/USD,52.88,55.35,51.88,54.93,16481.01891,905302.3687263
2022-09-25 04:00:00,Gemini,LTC/USD,54.2,54.33,52.08,52.88,6504.31901,343948.3892488
2022-09-24 04:00:00,Gemini,LTC/USD,54.78,55.89,53.2,54.2,8935.39598,484298.462116
2022-09-23 04:00:00,Gemini,LTC/USD,54.08,55.58,51.44,54.78,11048.38718,605230.6497204
2022-09-22 04:00:00,Gemini,LTC/USD,51.66,54.4,51.66,54.08,6558.35603,354675.8941024
2022-09-21 04:00:00,Gemini,LTC/USD,52.41,55.43,50.34,51.66,7273.61562,375754.98292919993
2022-09-20 04:00:00,Gemini,LTC/USD,52.12,53.84,50.87,52.41,13599.05552,712726.4998031999
2022-09-19 04:00:00,Gemini,LTC/USD,51.18,53.22,50.22,52.12,13360.58351,696353.6125412
2022-09-18 04:00:00,Gemini,LTC/USD,57.24,57.46,50.03,51.18,24402.47524,1248918.6827832
2022-09-17 04:00:00,Gemini,LTC/USD,56.36,58.41,56.02,57.24,5288.28771,302701.5885204
2022-09-16 04:00:00,Gemini,LTC/USD,55.79,56.7,54.63,56.36,20483.38612,1154443.6417232
2022-09-15 04:00:00,Gemini,LTC/USD,59.03,60.85,55.28,55.79,13240.73812,738700.7797148
2022-09-14 04:00:00,Gemini,LTC/USD,59.94,60.78,58.35,59.03,6812.42427,402137.40465810004
2022-09-13 04:00:00,Gemini,LTC/USD,61.99,67.61,58.38,59.94,19161.64202,1148548.8226788
2022-09-12 04:00:00,Gemini,LTC/USD,60.62,62.89,56.65,61.99,16113.65247,998885.3166153001
