Datetime,Exchange,Symbol_Pair,Open,High,Low,Close,Volume_in_ETH,Volume_USD
2022-06-25 04:00:00,Gemini,ETH/USD,1222.73,1254.98,1179.18,1232.6,15701.408166,19353555.705411598
2022-06-24 04:00:00,Gemini,ETH/USD,1149.47,1244.43,1130.24,1222.73,26951.688393,32954637.948772892
2022-06-23 04:00:00,Gemini,ETH/USD,1075.8,1167.28,1071.51,1149.47,27836.165412,31996837.05613164
2022-06-22 04:00:00,Gemini,ETH/USD,1087.72,1109.53,1042.9,1075.8,13304.766706,14313268.0223148
2022-06-21 04:00:00,Gemini,ETH/USD,1129.95,1129.95,1085.34,1087.72,747.362905,812921.5790266
2022-06-20 04:00:00,Gemini,ETH/USD,1078.6,1168.22,1059.02,1129.95,25359.09379,28654508.0280105
2022-06-19 04:00:00,Gemini,ETH/USD,950.52,1156.48,934.64,1078.6,30156.729532,32527048.4732152
2022-06-18 04:00:00,Gemini,ETH/USD,1078.03,1081.57,880.0,950.52,76484.367297,72699920.80314444
2022-06-17 04:00:00,Gemini,ETH/USD,1069.98,1116.1,1063.83,1078.03,22456.581384,24208868.42939352
2022-06-16 04:00:00,Gemini,ETH/USD,1208.02,1217.5,1050.0,1069.98,33941.097215,36316295.1981057
2022-06-15 04:00:00,Gemini,ETH/USD,1170.87,1256.56,1043.66,1208.02,38023.217478,45932807.17777356
2022-06-14 04:00:00,Gemini,ETH/USD,1172.59,1265.6,1134.72,1170.87,69986.403688,81944980.48616856
2022-06-13 04:00:00,Gemini,ETH/USD,1347.54,1385.85,1075.0,1172.59,115599.781995,135551148.36951703
2022-06-12 04:00:00,Gemini,ETH/USD,1466.61,1543.99,1303.1,1347.54,46729.807166,62970284.348471634
2022-06-11 04:00:00,Gemini,ETH/USD,1667.18,1677.71,1445.0,1466.61,33760.162884,49512992.487303235
2022-06-10 04:00:00,Gemini,ETH/USD,1791.89,1798.61,1653.85,1667.18,15741.283827,26243553.57069786
2022-06-09 04:00:00,Gemini,ETH/USD,1798.24,1831.52,1744.41,1791.89,5481.923164,9823003.298339961
2022-06-08 04:00:00,Gemini,ETH/USD,1777.13,1811.53,1770.82,1798.24,3155.848876,5674973.68277824
2022-06-07 04:00:00,Gemini,ETH/USD,1756.85,1872.53,1735.55,1777.13,12807.727319,22760996.45041447
2022-06-06 04:00:00,Gemini,ETH/USD,1877.16,1917.44,1724.99,1756.85,13933.02836,24478240.874266
2022-06-05 04:00:00,Gemini,ETH/USD,1792.25,1881.62,1772.49,1877.16,5697.13372,10694431.5338352
2022-06-04 04:00:00,Gemini,ETH/USD,1752.0,1814.0,1750.96,1792.25,3192.708481,5722131.7750722505
2022-06-03 04:00:00,Gemini,ETH/USD,1827.58,1827.58,1741.38,1752.0,4505.10733,7892948.04216
2022-06-02 04:00:00,Gemini,ETH/USD,1812.03,1850.67,1781.37,1827.58,10570.033822,19317582.41241076
