Datetime,Exchange,Symbol_Pair,Open,High,Low,Close,Volume_in_BTC,Volume_USDT,Tradecount
2022-03-17,Binance,BTCUSDT,41114.01,41478.82,40500.0,40917.9,37189.38087,1521083189.7108624,935784.0
2022-03-16,Binance,BTCUSDT,39280.33,41718.0,38828.48,41114.0,88120.76167,3552563766.3655386,2051837.0
2022-03-15,Binance,BTCUSDT,39671.37,39887.61,38098.33,39280.33,46015.54926,1796571984.458497,1060517.0
2022-03-14,Binance,BTCUSDT,37777.35,39947.12,37555.0,39671.37,46945.45375,1821922588.4472065,1114899.0
2022-03-13,Binance,BTCUSDT,38807.35,39310.0,37578.51,37777.34,32791.82359,1268441605.1866877,841844.0
2022-03-12,Binance,BTCUSDT,38729.57,39486.71,38660.52,38807.36,24034.36432,939663387.3149891,671733.0
2022-03-11,Binance,BTCUSDT,39422.01,40236.26,38223.6,38729.57,59018.7642,2305825015.6010857,1252571.0
2022-03-10,Binance,BTCUSDT,41941.7,42039.63,38539.73,39422.0,71962.93154,2854310740.8076735,1512655.0
2022-03-09,Binance,BTCUSDT,38730.63,42594.06,38656.45,41941.71,67392.58799,2797240840.960747,1570230.0
2022-03-08,Binance,BTCUSDT,37988.01,39362.08,37867.65,38730.63,55583.06638,2149652714.804345,1271128.0
2022-03-07,Binance,BTCUSDT,38420.8,39547.57,37155.0,37988.0,63994.11559,2449362161.7015386,1456041.0
2022-03-06,Binance,BTCUSDT,39397.97,39693.87,38088.57,38420.81,39677.26158,1542258009.6292188,986352.0
2022-03-05,Binance,BTCUSDT,39148.65,39613.24,38407.59,39397.96,30363.13341,1187689935.0879936,879727.0
2022-03-04,Binance,BTCUSDT,42454.0,42527.3,38550.0,39148.66,61964.68498,2527001270.7194686,1465066.0
2022-03-03,Binance,BTCUSDT,43892.99,44101.12,41832.28,42454.0,50940.61021,2192152097.925188,1289320.0
2022-03-02,Binance,BTCUSDT,44421.2,45400.0,43334.09,43892.98,57782.65081,2550792948.288624,1653131.0
2022-03-01,Binance,BTCUSDT,43160.0,44949.0,42809.98,44421.2,61743.09873,2701611023.69432,1866871.0
2022-02-28,Binance,BTCUSDT,37699.08,44225.84,37450.17,43160.0,73945.63858,2975160226.168985,1931087.0
2022-02-27,Binance,BTCUSDT,39116.73,39855.7,37000.0,37699.07,46229.44719,1780512702.886402,1265753.0
2022-02-26,Binance,BTCUSDT,39219.16,40348.45,38573.18,39116.72,29361.2568,1152621719.69438,924257.0
2022-02-25,Binance,BTCUSDT,38328.68,39683.53,38014.37,39219.17,56574.57125,2197889580.2826686,1408558.0
2022-02-24,Binance,BTCUSDT,37250.02,39843.0,34322.28,38327.21,120476.29458,4335107392.009488,2622780.0
2022-02-23,Binance,BTCUSDT,38230.33,39249.93,37036.79,37250.01,43560.732,1665486687.2399373,1030872.0
